Unnamed: 0,TEN,DEN
First Downs,28,15
Rush-Yds-TDs,29-133-1,26-166-1
Cmp-Att-Yd-TD-INT,26-41-305-1-2,16-21-200-2-0
Sacked-Yards,1-15,1-7
Net Pass Yards,290,193
Total Yards,423,359
Fumbles-Lost,4-1,2-1
Turnovers,3,1
Penalties-Yards,6-80,5-35
Third Down Conv.,7-14,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,35:33,24:27
