Unnamed: 0,LAR,SFO
First Downs,26,25
Rush-Yds-TDs,32-126-2,33-113-3
Cmp-Att-Yd-TD-INT,22-28-292-3-0,23-37-332-2-1
Sacked-Yards,0-0,4-24
Net Pass Yards,292,308
Total Yards,418,421
Fumbles-Lost,3-2,1-1
Turnovers,2,2
Penalties-Yards,7-52,10-55
Third Down Conv.,8-12,9-18
Fourth Down Conv.,0-0,2-3
Time of Possession,29:43,30:17
