Quarter,Time,Tm,Detail,LAR,SFO
1.0,14:48,Rams,Todd Gurley 3 yard rush (Greg Zuerlein kick),7,0
,8:17,49ers,Brian Hoyer 9 yard rush (Robbie Gould kick),7,7
,4:32,Rams,Todd Gurley 7 yard pass from Jared Goff (Greg Zuerlein kick),14,7
2.0,14:55,Rams,Greg Zuerlein 48 yard field goal,17,7
,9:37,49ers,Robbie Gould 36 yard field goal,17,10
,3:46,49ers,Robbie Gould 48 yard field goal,17,13
,0:49,Rams,Todd Gurley 2 yard rush (Greg Zuerlein kick),24,13
3.0,9:17,Rams,Greg Zuerlein 19 yard field goal,27,13
,5:40,49ers,Carlos Hyde 1 yard rush (Robbie Gould kick),27,20
,0:17,Rams,Sammy Watkins 1 yard pass from Jared Goff (Greg Zuerlein kick),34,20
4.0,12:50,49ers,Garrett Celek 1 yard pass from Brian Hoyer (Robbie Gould kick failed),34,26
,8:43,Rams,Sammy Watkins 13 yard pass from Jared Goff (Greg Zuerlein kick),41,26
,5:08,49ers,Trent Taylor 3 yard pass from Brian Hoyer (Robbie Gould kick),41,33
,2:13,49ers,Carlos Hyde 1 yard rush (pass failed),41,39
