Unnamed: 0,BAL,GNB
First Downs,14,16
Rush-Yds-TDs,26-58-1,25-75-0
Cmp-Att-Yd-TD-INT,22-28-183-1-1,21-36-239-0-3
Sacked-Yards,3-22,6-49
Net Pass Yards,161,190
Total Yards,219,265
Fumbles-Lost,1-0,4-2
Turnovers,1,5
Penalties-Yards,3-30,5-53
Third Down Conv.,3-14,4-13
Fourth Down Conv.,1-1,1-4
Time of Possession,30:03,29:57
