Quarter,Time,Down,ToGo,Location,BAL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 63 yards, returned by Trevor Davis for 30 yards (tackle by Lardarius Webb)",0.000,-1.070
1,14:52,1,10,GNB 32,0,0,Brett Hundley pass complete short left to Jordy Nelson for 17 yards (tackle by Brandon Carr),1.070,2.190
1,14:19,1,10,GNB 49,0,0,Jamaal Williams right end for 8 yards (tackle by Eric Weddle),2.190,2.730
1,13:46,2,2,BAL 43,0,0,Brett Hundley pass complete deep right to Davante Adams for 33 yards (tackle by Brandon Carr),2.730,4.910
1,13:01,1,10,BAL 10,0,0,Brett Hundley pass incomplete short left intended for Jamaal Williams,4.910,4.190
1,12:52,2,10,BAL 10,0,0,"Brett Hundley pass incomplete short right intended for Jordy Nelson (defended by Brandon Carr). Penalty on Terrell Suggs: Neutral Zone Infraction, 5 yards (no play)",4.190,5.150
1,12:52,2,5,BAL 5,0,0,Brett Hundley pass incomplete short left intended for Randall Cobb is intercepted by Jimmy Smith at BAL--5,5.150,-0.280
1,12:46,1,10,BAL 20,0,0,Joe Flacco pass complete short right to Mike Wallace for 16 yards (tackle by Josh Jones),0.280,1.330
1,12:09,1,10,BAL 36,0,0,Alex Collins left end for 3 yards (tackle by Dean Lowry),1.330,1.200
1,11:34,2,7,BAL 39,0,0,Joe Flacco pass complete short middle to Jeremy Maclin for 11 yards (tackle by Davon House),1.200,2.260
1,10:58,1,10,,0,0,Joe Flacco pass complete short middle to Danny Woodhead for 5 yards (tackle by Jake Ryan),2.260,2.390
1,10:23,2,5,GNB 45,0,0,Alex Collins middle for 4 yards (tackle by Jake Ryan),2.390,2.210
1,9:45,3,1,GNB 41,0,0,Joe Flacco pass incomplete short right intended for Alex Collins,2.210,0.530
1,9:40,4,1,GNB 41,0,0,Alex Collins right guard for 5 yards (tackle by Blake Martinez),0.530,3.180
1,8:56,1,10,GNB 36,0,0,"Joe Flacco for no gain. Ryan Jensen fumbles, recovered by Alex Collins",3.180,0.750
1,8:13,2,24,,0,0,Joe Flacco pass complete short right to Alex Collins for 3 yards (tackle by Damarious Randall and Davon House),0.750,0.500
1,7:39,3,21,GNB 47,0,0,Joe Flacco sacked by Clay Matthews for -8 yards,0.500,-0.390
1,7:07,4,29,BAL 45,0,0,"Sam Koch punts 42 yards, out of bounds",-0.390,0.320
1,7:00,1,10,GNB 13,0,0,Brett Hundley pass incomplete short right intended for Davante Adams,-0.320,-0.770
1,6:55,2,10,GNB 13,0,0,Jamaal Williams right guard for 6 yards (tackle by C.J. Mosley),-0.770,-0.710
1,6:19,3,4,GNB 19,0,0,Brett Hundley pass complete short middle to Jordy Nelson for 7 yards (tackle by Tony Jefferson),-0.710,0.670
1,5:46,1,10,GNB 26,0,0,Brett Hundley pass complete short right to Jamaal Williams for 16 yards (tackle by Patrick Onwuasor),0.670,1.730
1,5:19,1,10,GNB 42,0,0,"Penalty on Brett Hundley: False Start, 5 yards (no play)",1.730,1.400
1,5:03,1,15,GNB 37,0,0,Brett Hundley pass incomplete short left intended for Jordy Nelson,1.400,0.510
1,4:47,2,15,GNB 37,0,0,Brett Hundley pass incomplete deep right intended for Lance Kendricks is intercepted by Eric Weddle at BAL-36 and returned for 3 yards,0.510,-1.530
1,4:47,1,10,BAL 39,0,0,Joe Flacco pass complete short middle to Jeremy Maclin for 4 yards (tackle by Jake Ryan),1.530,1.530
1,4:26,2,6,BAL 43,0,0,Javorius Allen right tackle for 1 yard (tackle by Ha Ha Clinton-Dix and Blake Martinez),1.530,0.960
1,3:49,3,5,BAL 44,0,0,Joe Flacco pass complete short middle to Mike Wallace for 16 yards (tackle by Ha Ha Clinton-Dix),0.960,2.920
1,3:07,1,10,GNB 40,0,0,"Joe Flacco pass incomplete short right intended for Alex Collins. Penalty on Blake Martinez: Tripping, 10 yards (no play)",2.920,3.580
1,3:03,1,10,GNB 30,0,0,Alex Collins right end for 4 yards (tackle by Ha Ha Clinton-Dix and Dean Lowry),3.580,3.570
1,2:32,2,6,GNB 26,0,0,Joe Flacco pass incomplete deep right intended for Nick Boyle,3.570,2.870
1,2:27,3,6,GNB 26,0,0,Joe Flacco pass complete short middle to Danny Woodhead for 7 yards (tackle by Josh Jones),2.870,4.310
1,1:48,1,10,GNB 19,0,0,Joe Flacco pass complete short middle to Danny Woodhead for 4 yards (tackle by Jake Ryan),4.310,4.350
1,1:07,2,6,GNB 15,0,0,Alex Collins right guard for 4 yards (tackle by Blake Martinez),4.350,4.430
1,0:23,3,2,GNB 11,0,0,Alex Collins right end for -3 yards (tackle by Jake Ryan),4.430,2.560
Quarter,Time,Down,ToGo,Location,BAL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,GNB 14,3,0,Justin Tucker 32 yard field goal good,2.560,3.000
2,14:56,,,BAL 35,3,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,14:56,1,10,GNB 25,3,0,Brett Hundley pass complete short right to Aaron Ripkowski for 6 yards (tackle by Matt Judon),0.610,0.870
2,14:17,2,4,GNB 31,3,0,Jamaal Williams right end for 5 yards (tackle by Willie Henry and Patrick Onwuasor),0.870,1.330
2,13:43,1,10,GNB 36,3,0,Jamaal Williams middle for 2 yards (tackle by Tony Jefferson),1.330,1.060
2,13:10,2,8,GNB 38,3,0,Jamaal Williams left guard for 1 yard (tackle by Michael Pierce),1.060,0.500
2,12:31,3,7,GNB 39,3,0,Brett Hundley pass complete short right to Davante Adams for 6 yards (tackle by Tim Williams and Brandon Carr),0.500,-0.390
2,12:01,4,1,GNB 45,3,0,Jamaal Williams middle for 2 yards (tackle by Patrick Onwuasor),-0.390,2.060
2,11:29,1,10,GNB 47,3,0,"Devante Mays left end for -4 yards (tackle by Matt Judon). Devante Mays fumbles (forced by Matt Judon), recovered by Patrick Onwuasor at GNB-43 (tackle by Jahri Evans)",2.060,-2.720
2,11:16,1,10,GNB 43,3,0,Joe Flacco pass incomplete short left intended for Alex Collins,2.720,0.000
2,11:11,,,,,,Timeout #1 by Baltimore Ravens,0.000,-2.180
2,11:11,2,10,GNB 43,3,0,Joe Flacco pass complete short right to Alex Collins for -6 yards (tackle by Blake Martinez),2.180,0.700
2,10:30,3,16,GNB 49,3,0,Joe Flacco pass complete short middle to Danny Woodhead for 1 yard (tackle by Kyler Fackrell),0.700,0.070
2,9:55,4,15,GNB 48,3,0,"Sam Koch punts 29 yards, fair catch by Trevor Davis",0.070,-0.150
2,9:48,1,10,GNB 19,3,0,Jamaal Williams right guard for 3 yards (tackle by Patrick Onwuasor),0.150,0.070
2,9:18,2,7,GNB 22,3,0,Brett Hundley pass complete short left to Jamaal Williams for 5 yards (tackle by Jimmy Smith),0.070,-0.030
2,8:38,3,2,GNB 27,3,0,Brett Hundley pass incomplete short right intended for Lance Kendricks,-0.030,-1.570
2,8:27,4,2,GNB 27,3,0,"Justin Vogel punts 38 yards, fair catch by Michael Campanaro",-1.570,-1.270
2,8:20,1,10,BAL 35,3,0,Alex Collins left tackle for 5 yards (tackle by Jake Ryan),1.270,1.400
2,7:47,2,5,BAL 40,3,0,"Joe Flacco pass complete short middle to Alex Collins for 21 yards (tackle by Marwin Evans). Penalty on Dean Lowry: Roughing the Passer, 15 yards",1.400,3.970
2,7:17,1,10,GNB 24,3,0,Joe Flacco pass incomplete deep left intended for Danny Woodhead is intercepted by Ha Ha Clinton-Dix at GNB-2,3.970,0.380
2,7:17,1,10,GNB 2,3,0,Brett Hundley for 3 yards (tackle by Michael Pierce),-0.380,-0.560
2,6:45,2,7,GNB 5,3,0,Brett Hundley pass complete short right to Davante Adams for 14 yards (tackle by Marlon Humphrey),-0.560,0.150
2,6:06,1,10,GNB 19,3,0,Jamaal Williams right end for no gain (tackle by Tony Jefferson),0.150,-0.390
2,5:22,2,10,GNB 19,3,0,Jamaal Williams right end for 7 yards (tackle by Patrick Onwuasor and Tim Williams),-0.390,-0.160
2,4:42,3,3,GNB 26,3,0,Brett Hundley middle for 4 yards (tackle by C.J. Mosley),-0.160,0.940
2,4:00,1,10,GNB 30,3,0,Randall Cobb left end for no gain (tackle by Matt Judon),0.940,0.390
2,3:19,2,10,GNB 30,3,0,Brett Hundley pass complete short middle to Davante Adams for 11 yards (tackle by Marlon Humphrey),0.390,1.660
2,2:43,1,10,GNB 41,3,0,Brett Hundley sacked by Matt Judon for -12 yards,1.660,-0.500
2,2:00,2,22,GNB 29,3,0,Brett Hundley pass incomplete short right intended for Jordy Nelson (defended by Tyus Bowser),-0.500,-1.150
2,1:57,3,22,GNB 29,3,0,Brett Hundley sacked by Matt Judon for -13 yards,-1.150,0.000
2,1:49,,,,,,Timeout #2 by Baltimore Ravens,0.000,2.390
2,1:49,4,35,GNB 16,3,0,"Justin Vogel punts 42 yards, returned by Michael Campanaro for 28 yards (tackle by Marwin Evans)",-2.390,-3.580
2,1:37,1,10,GNB 30,3,0,Joe Flacco sacked by Kyler Fackrell for -8 yards,3.580,1.950
2,1:03,2,18,GNB 38,3,0,Joe Flacco pass complete short middle to Mike Wallace for 3 yards (tackle by Davon House and Jermaine Whitehead),1.950,1.680
2,0:26,3,15,GNB 35,3,0,Joe Flacco pass complete short middle to Jeremy Maclin for 14 yards (tackle by Josh Jones),1.680,0.000
2,0:03,,,,,,Timeout #3 by Baltimore Ravens,0.000,0.000
2,0:03,,,,,,Timeout #1 by Green Bay Packers,0.000,-2.210
2,0:03,4,1,GNB 21,6,0,Justin Tucker 39 yard field goal good,2.210,3.000
Quarter,Time,Down,ToGo,Location,BAL,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,6,0,"Mason Crosby kicks off 59 yards, returned by Chris Moore for 35 yards (tackle by Mason Crosby)",0.000,-1.660
