#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:46,BAL 20,10,5:46,25,Punt
2,1,4:47,BAL 39,10,4:51,47,Field Goal
3,2,11:16,GNB 43,3,1:28,-5,Punt
4,2,8:20,BAL 35,3,1:03,41,Interception
5,2,1:37,GNB 30,4,1:37,9,Field Goal
6,3,15:00,BAL 41,4,1:52,59,Touchdown
7,3,9:50,BAL 49,3,1:46,-1,Punt
8,3,4:55,BAL 11,3,1:54,5,Punt
9,3,1:19,BAL 36,5,2:42,15,Punt
10,4,10:58,BAL 33,5,3:15,18,Punt
11,4,6:43,GNB 29,5,1:57,24,Field Goal
12,4,3:40,GNB 30,4,1:15,-6,Punt
13,4,2:17,GNB 3,1,0:05,3,Touchdown
14,4,0:32,BAL 23,1,0:32,-1,End of Game
