Quarter,Time,Tm,Detail,BAL,GNB
2.0,14:56,Ravens,Justin Tucker 32 yard field goal,3,0
,0:00,Ravens,Justin Tucker 39 yard field goal,6,0
3.0,13:08,Ravens,Mike Wallace 21 yard pass from Joe Flacco (Justin Tucker kick),13,0
4.0,4:46,Ravens,Justin Tucker 23 yard field goal,16,0
,2:12,Ravens,Alex Collins 3 yard rush (Justin Tucker kick),23,0
