Quarter,Time,Tm,Detail,MIN,WAS
1.0,10:57,Redskins,Maurice Harris 36 yard pass from Kirk Cousins (Nick Rose kick),0,7
,8:18,Vikings,Latavius Murray 1 yard rush (Kai Forbath kick),7,7
,0:08,Redskins,Nick Rose 28 yard field goal,7,10
2.0,11:45,Vikings,Stefon Diggs 3 yard pass from Case Keenum (Kai Forbath kick),14,10
,4:37,Redskins,Kirk Cousins 1 yard rush (Nick Rose kick),14,17
,1:49,Vikings,Adam Thielen 7 yard pass from Case Keenum (Kai Forbath kick),21,17
,0:22,Vikings,David Morgan 1 yard pass from Case Keenum (Kai Forbath kick),28,17
3.0,12:22,Vikings,Jarius Wright 7 yard pass from Case Keenum (Kai Forbath kick),35,17
,8:24,Redskins,Nick Rose 21 yard field goal,35,20
4.0,14:47,Redskins,Kirk Cousins 2 yard rush (Nick Rose kick),35,27
,7:45,Vikings,Kai Forbath 53 yard field goal,38,27
,1:14,Redskins,Nick Rose 55 yard field goal,38,30
