Quarter,Time,Down,ToGo,Location,MIN,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,WAS 25,0,0,Robert Kelley right tackle for 3 yards (tackle by Danielle Hunter and Eric Kendricks),0.610,0.470
1,14:23,2,7,WAS 28,0,0,Kirk Cousins pass complete short right to Ryan Grant for 13 yards,0.470,1.660
1,13:52,1,10,WAS 41,0,0,Robert Kelley right tackle for 7 yards (tackle by Terence Newman and Andrew Sendejo),1.660,2.070
1,13:07,2,3,WAS 48,0,0,Kirk Cousins pass complete short right to Robert Kelley for 5 yards (tackle by Eric Kendricks),2.070,2.460
1,12:22,1,10,MIN 47,0,0,Chris Thompson right end for 6 yards (tackle by Linval Joseph),2.460,2.720
1,11:42,2,4,MIN 41,0,0,Kirk Cousins pass complete short left to Chris Thompson for 5 yards (tackle by Eric Kendricks),2.720,3.180
1,11:03,1,10,MIN 36,0,6,"Kirk Cousins pass complete deep right to Maurice Harris for 36 yards, touchdown",3.180,7.000
,,,,,,,"WAS challenged the incomplete pass ruling, and the original play was overturned.",,
1,10:57,,,MIN 15,0,7,Nick Rose kicks extra point good,0.000,0.000
1,10:57,,,WAS 35,0,7,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
1,10:57,1,10,MIN 25,0,7,Case Keenum pass complete short left to Stefon Diggs for 8 yards (tackle by Zach Brown and Bashaud Breeland),0.610,1.140
1,10:25,2,2,MIN 33,0,7,Latavius Murray middle for 14 yards (tackle by DeAngelo Hall),1.140,2.060
1,9:48,1,10,MIN 47,0,7,Case Keenum pass complete deep right to Stefon Diggs for 51 yards (tackle by Josh Norman),2.060,6.740
1,9:00,1,2,WAS 2,0,7,Latavius Murray right guard for 1 yard (tackle by Zach Brown and Stacy McGee),6.740,5.910
1,8:21,2,1,WAS 1,6,7,"Latavius Murray middle for 1 yard, touchdown",5.910,7.000
1,8:18,,,WAS 15,7,7,Kai Forbath kicks extra point good,0.000,0.000
1,8:18,,,MIN 35,7,7,"Kai Forbath kicks off 63 yards, returned by Samaje Perine for 28 yards (tackle by Ben Gedeon)",0.000,-0.940
1,8:11,1,10,WAS 30,7,7,Robert Kelley left tackle for 2 yards (tackle by Danielle Hunter),0.940,0.660
1,7:37,2,8,WAS 32,7,7,Kirk Cousins pass complete short left to Josh Doctson for 5 yards (tackle by Xavier Rhodes),0.660,0.630
1,7:07,3,3,WAS 37,7,7,"Penalty on Josh Doctson: False Start, 5 yards (no play)",0.630,-0.030
1,6:54,3,8,WAS 32,7,7,Kirk Cousins pass complete short right to Ryan Grant for 7 yards (tackle by Trae Waynes),-0.030,-0.780
