Unnamed: 0,MIN,WAS
First Downs,21,24
Rush-Yds-TDs,31-102-1,27-81-2
Cmp-Att-Yd-TD-INT,21-29-304-4-2,26-45-327-1-1
Sacked-Yards,0-0,1-14
Net Pass Yards,304,313
Total Yards,406,394
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,3-40,2-15
Third Down Conv.,8-12,5-14
Fourth Down Conv.,0-0,3-5
Time of Possession,28:54,31:06
