Unnamed: 0,WAS,PHI
First Downs,19,23
Rush-Yds-TDs,18-75-0,33-127-0
Cmp-Att-Yd-TD-INT,30-40-303-3-1,17-25-268-4-1
Sacked-Yards,4-34,3-24
Net Pass Yards,269,244
Total Yards,344,371
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,5-55,9-55
Third Down Conv.,4-12,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,30:15,29:45
