Unnamed: 0,MIN,CLE
First Downs,26,16
Rush-Yds-TDs,34-88-1,22-115-2
Cmp-Att-Yd-TD-INT,27-43-288-2-1,18-34-179-0-0
Sacked-Yards,1-1,3-18
Net Pass Yards,287,161
Total Yards,375,276
Fumbles-Lost,1-0,2-2
Turnovers,1,2
Penalties-Yards,5-58,5-74
Third Down Conv.,6-16,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,37:52,22:08
