Quarter,Time,Tm,Detail,MIN,CLE
1.0,11:20,Browns,Isaiah Crowell 26 yard rush (Zane Gonzalez kick failed),0,6
,5:27,Vikings,Kai Forbath 35 yard field goal,3,6
2.0,2:48,Vikings,Adam Thielen 18 yard pass from Case Keenum (Kai Forbath kick failed),9,6
,0:40,Browns,DeShone Kizer 1 yard rush (Zane Gonzalez kick),9,13
,0:00,Vikings,Kai Forbath 34 yard field goal,12,13
3.0,13:32,Vikings,Kai Forbath 43 yard field goal,15,13
,5:34,Browns,Zane Gonzalez 23 yard field goal,15,16
,1:16,Vikings,Jerick McKinnon 1 yard rush (Jerick McKinnon run),23,16
4.0,10:06,Vikings,Kyle Rudolph 4 yard pass from Case Keenum (Kai Forbath kick),30,16
,1:09,Vikings,Kai Forbath 51 yard field goal,33,16
