Unnamed: 0,CAR,MIN
First Downs,22,17
Rush-Yds-TDs,39-131-2,13-75-0
Cmp-Att-Yd-TD-INT,20-26-242-3-0,32-44-241-1-2
Sacked-Yards,1-6,3-26
Net Pass Yards,236,215
Total Yards,367,290
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,6-40,5-55
Third Down Conv.,7-12,6-14
Fourth Down Conv.,2-2,1-2
Time of Possession,36:27,23:33
