Player,Pos
Joe Burrow,QB
Joe Mixon,RB
Tyler Boyd,WR
Ja'Marr Chase,WR
Tee Higgins,WR
Irv Smith Jr.,TE
Orlando Brown Jr.,T
Jonah Williams,T
Alex Cappa,G
Cordell Volson,G
Ted Karras,C
Sam Hubbard,DE
Trey Hendrickson,DE
D.J. Reader,DT
B.J. Hill,DT
Germaine Pratt,LB
Logan Wilson,LB
Chidobe Awuzie,CB
Mike Hilton,CB
Cam Taylor-Britt,CB
Nick Scott,S
Daxton Hill,S
