Quarter,Time,Tm,Detail,OAK,KAN
1.0,6:19,Chiefs,Larry Johnson 5 yard rush (Lawrence Tynes kick),0,7
,0:22,Raiders,Sebastian Janikowski 41 yard field goal,3,7
2.0,7:53,Raiders,Sebastian Janikowski 36 yard field goal,6,7
,0:19,Raiders,Courtney Anderson 2 yard pass from Aaron Brooks (Sebastian Janikowski kick),13,7
3.0,2:43,Chiefs,Lawrence Tynes 37 yard field goal,13,10
4.0,1:32,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),13,17
