Unnamed: 0,NYG,PHI
First Downs,28,17
Rush-Yds-TDs,40-138-1,25-175-2
Cmp-Att-Yd-TD-INT,28-44-312-1-3,14-32-190-0-0
Sacked-Yards,1-13,6-28
Net Pass Yards,299,162
Total Yards,437,337
Fumbles-Lost,0-0,1-1
Turnovers,3,1
Penalties-Yards,10-71,9-101
Third Down Conv.,11-19,6-16
Fourth Down Conv.,1-2,0-1
Time of Possession,43:30,27:35
