Quarter,Time,Tm,Detail,NYG,PHI
1,9:22,Giants,Tiki Barber 4 yard pass from Eli Manning (Jay Feely kick),7,0
,7:52,Eagles,Ryan Moats 40 yard rush (David Akers kick),7,7
2,12:31,Giants,Eli Manning 1 yard rush (Jay Feely kick),14,7
,4:59,Giants,Jay Feely 24 yard field goal,17,7
,1:53,Eagles,Ryan Moats 18 yard rush (David Akers kick),17,14
,0:21,Eagles,David Akers 42 yard field goal,17,17
3,3:17,Giants,Jay Feely 21 yard field goal,20,17
4,10:39,Giants,Jay Feely 27 yard field goal,23,17
,6:28,Eagles,David Akers 36 yard field goal,23,20
,1:52,Eagles,David Akers 50 yard field goal,23,23
OT,3:55,Giants,Jay Feely 36 yard field goal,26,23
