Unnamed: 0,MIN,GNB
First Downs,24,16
Rush-Yds-TDs,31-62-1,17-74-0
Cmp-Att-Yd-TD-INT,26-35-297-2-0,24-41-229-1-1
Sacked-Yards,3-13,4-33
Net Pass Yards,284,196
Total Yards,346,270
Fumbles-Lost,1-1,2-0
Turnovers,1,1
Penalties-Yards,7-35,11-99
Third Down Conv.,10-18,5-14
Fourth Down Conv.,1-1,1-4
Time of Possession,36:22,23:38
