Quarter,Time,Tm,Detail,MIN,GNB
1.0,1:40,Vikings,Cam Akers 6 yard rush (Greg Joseph kick),7,0
2.0,10:13,Vikings,Greg Joseph 25 yard field goal,10,0
,0:00,Packers,Anders Carlson 30 yard field goal,10,3
3.0,9:25,Vikings,T.J. Hockenson 2 yard pass from Kirk Cousins (Greg Joseph kick),17,3
,7:48,Vikings,Jordan Addison 20 yard pass from Kirk Cousins (Greg Joseph kick),24,3
,2:43,Packers,Romeo Doubs 1 yard pass from Jordan Love (Anders Carlson kick),24,10
