Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
1,6:11,4,6,GNB 36,0,0,"Daniel Whelan punts 52 yards, returned by Austin Trammell for 14 yards (tackle by Tucker Kraft)",-0.980,-0.670
1,5:51,1,10,LAR 26,0,0,Royce Freeman up the middle for 2 yards (tackle by Keisean Nixon and Rashan Gary),0.670,0.400
1,5:23,2,8,LAR 28,0,0,"Brett Rypien pass incomplete. Penalty on Rashan Gary: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.400,1.800
1,5:18,1,10,LAR 43,0,0,"Brett Rypien sacked by Rashan Gary for no gain. Penalty on Rashan Gary: Defensive Offside, 5 yards (accepted) (no play)",1.800,2.530
1,4:54,1,5,LAR 48,0,0,Royce Freeman up the middle for 4 yards (tackle by Tedarrell Slaton),2.530,2.470
1,4:12,2,1,GNB 48,0,0,Royce Freeman up the middle for 3 yards (tackle by Kenny Clark),2.470,2.590
1,3:27,1,10,GNB 45,0,0,"Brett Rypien aborted snap, recovered by Brett Rypien at GB-45 Brett Rypien sacked by Jonathan Owens for -11 yards. Brett Rypien fumbles (forced by Jonathan Owens), recovered by De'Vondre Campbell at LA-44 and returned for 3 yards (tackle by Royce Freeman)",2.590,-2.850
1,3:24,1,10,LAR 41,0,0,Jordan Love pass complete short left to Josiah Deguara for 7 yards (tackle by Byron Young),2.850,3.250
1,2:40,2,3,LAR 34,0,0,Aaron Jones right tackle for 7 yards (tackle by Michael Hoecht),3.250,3.780
1,2:01,1,10,LAR 27,0,0,AJ Dillon right tackle for 12 yards (tackle by Byron Young),3.780,4.580
1,1:21,1,10,LAR 15,0,0,Aaron Jones right end for 2 yards (tackle by Kobie Turner),4.580,4.280
1,0:42,2,8,LAR 13,0,0,Aaron Jones left guard for 5 yards (tackle by Jordan Fuller and Kobie Turner),4.280,4.450
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,LAR 8,0,0,Aaron Jones up the middle for 5 yards (tackle by Jordan Fuller and Cobie Durant),4.450,6.510
2,14:22,1,3,LAR 3,0,6,"Aaron Jones left tackle for 3 yards, touchdown",6.510,7.000
2,14:19,,,LAR 15,0,7,Anders Carlson kicks extra point good,0.000,0.000
2,14:19,,,GNB 35,0,7,"Anders Carlson kicks off 65 yards, returned by Demarcus Robinson for 20 yards (tackle by Zayne Anderson)",0.000,0.280
2,14:14,1,10,LAR 20,0,7,"Penalty on Demarcus Robinson: False Start, 5 yards (accepted) (no play)",0.280,-0.310
2,14:14,1,15,LAR 15,0,7,Darrell Henderson left tackle for 1 yard (tackle by Keisean Nixon and Devonte Wyatt),-0.310,-0.940
2,13:47,2,14,LAR 16,0,7,Brett Rypien scrambles left end for 5 yards (tackle by De'Vondre Campbell),-0.940,-0.820
2,13:05,3,9,LAR 21,0,7,Brett Rypien pass incomplete short right intended for Tutu Atwell (defended by Carrington Valentine),-0.820,-1.960
2,12:59,4,9,LAR 21,0,7,Ethan Evans punts 41 yards out of bounds,-1.960,-1.470
2,12:53,1,10,GNB 38,0,7,Jayden Reed left end for 21 yards (tackle by Christian Rozeboom),1.470,2.850
2,12:08,1,10,LAR 41,0,7,Jordan Love pass incomplete short left intended for Luke Musgrave,2.850,2.310
2,12:04,2,10,LAR 41,0,7,AJ Dillon left end for 3 yards (tackle by Cory Durden and Michael Hoecht),2.310,2.020
2,11:19,3,7,LAR 38,0,7,Jordan Love pass incomplete deep left intended for Christian Watson (defended by Ahkello Witherspoon),2.020,0.720
2,11:12,4,7,LAR 38,0,7,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.720,0.400
2,11:12,4,12,LAR 43,0,7,"Daniel Whelan punts 33 yards, fair catch by Austin Trammell at LA-10",0.400,0.380
2,11:05,1,10,LAR 10,0,7,Royce Freeman left end for 2 yards (tackle by Isaiah McDuffie),-0.380,-0.630
2,10:30,2,8,LAR 12,0,7,Brett Rypien pass incomplete short right intended for Puka Nacua (defended by Carrington Valentine),-0.630,-1.190
2,10:24,3,8,LAR 12,0,7,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",-1.190,-1.770
2,10:24,3,13,LAR 7,0,7,Royce Freeman left guard for 7 yards (tackle by Karl Brooks),-1.770,-2.470
2,9:48,4,6,LAR 14,0,7,"Ethan Evans punts 61 yards, returned by Keisean Nixon for 15 yards (tackle by Davis Allen)",-2.470,-1.600
2,9:32,1,10,GNB 40,0,7,Aaron Jones left end for 4 yards (tackle by Quentin Lake),1.600,1.590
2,8:56,2,6,GNB 44,0,7,Aaron Jones right guard for 3 yards (tackle by Kobie Turner),1.590,1.290
2,8:19,3,3,GNB 47,0,7,Aaron Jones up the middle for 2 yards (tackle by Troy Reeder and Michael Hoecht),1.290,-0.130
2,7:44,4,1,GNB 49,0,7,"Penalty on Jon Runyan: Offensive Offside, 4 yards (accepted) (no play)",-0.130,-0.390
2,7:28,4,5,GNB 45,0,7,"Daniel Whelan punts 47 yards, returned by Austin Trammell for 12 yards (tackle by Eric Wilson). Penalty on Ben Skowronek: Offensive Holding, 10 yards (accepted)",-0.390,0.380
2,7:28,1,10,LAR 10,0,7,Darrell Henderson left end for 6 yards (tackle by Isaiah McDuffie and De'Vondre Campbell),-0.380,-0.230
2,6:47,2,4,LAR 16,0,7,Darrell Henderson right end for no gain (tackle by Carrington Valentine and De'Vondre Campbell),-0.230,-0.720
2,6:06,3,4,LAR 16,0,7,Brett Rypien scrambles up the middle for 6 yards (tackle by De'Vondre Campbell),-0.720,0.410
2,5:29,1,10,LAR 22,0,7,Darrell Henderson left end for -5 yards (tackle by Lukas Van Ness),0.410,-0.940
2,4:48,2,15,LAR 17,0,7,Darrell Henderson up the middle for 4 yards (tackle by Lukas Van Ness),-0.940,-0.960
2,4:20,3,11,LAR 21,0,7,"Brett Rypien pass complete deep left to Cooper Kupp for 34 yards (tackle by Jaire Alexander). Penalty on Devonte Wyatt: Defensive Offside, 5 yards (declined)",-0.960,2.590
2,4:01,1,10,GNB 45,0,7,Brett Rypien scrambles right end for 8 yards (tackle by Isaiah McDuffie),2.590,3.120
2,3:23,2,2,GNB 37,0,7,Darrell Henderson up the middle for -1 yards (tackle by Kingsley Enagbare),3.120,2.280
2,2:36,3,3,GNB 38,0,7,Brett Rypien pass complete short left to Puka Nacua for 4 yards (tackle by Jaire Alexander),2.280,3.310
2,2:00,1,10,GNB 34,0,7,Darrell Henderson left tackle for no gain (tackle by Preston Smith),3.310,2.770
2,1:57,,,,,,Timeout #1 by Green Bay Packers,,
2,1:57,2,10,GNB 34,0,7,Brett Rypien pass incomplete short left intended for Tyler Higbee (defended by Anthony Johnson),2.770,2.080
2,1:51,3,10,GNB 34,0,7,Brett Rypien pass incomplete short right intended for Tutu Atwell,2.080,1.060
2,1:47,4,10,GNB 34,3,7,Lucas Havrisik 52 yard field goal good,1.060,3.000
2,1:42,,,LAR 35,3,7,"Lucas Havrisik kicks off 65 yards, touchback.",0.000,0.610
2,1:42,1,10,GNB 25,3,7,"Jordan Love pass incomplete intended for Romeo Doubs. Penalty on Ahkello Witherspoon: Defensive Pass Interference, 6 yards (accepted) (no play)",0.610,1.000
2,1:40,1,10,GNB 31,3,7,Aaron Jones left tackle for 2 yards (tackle by Kobie Turner and Aaron Donald),1.000,0.730
2,1:17,2,8,GNB 33,3,7,Jordan Love pass complete short right to Romeo Doubs for 9 yards (tackle by Duke Shelley),0.730,1.730
2,1:13,1,10,GNB 42,3,7,Jordan Love pass complete short middle to Jayden Reed for 4 yards (tackle by Quentin Lake),1.730,1.730
2,0:51,2,6,GNB 46,3,7,Jordan Love scrambles right end for 8 yards (tackle by Aaron Donald),1.730,2.520
2,0:43,1,10,LAR 46,3,7,Jordan Love pass incomplete deep middle intended for Malik Heath,2.520,1.980
2,0:40,2,10,LAR 46,3,7,Jordan Love sacked by Kobie Turner for -7 yards,1.980,0.370
2,0:19,,,,,,Timeout #2 by Green Bay Packers,,
2,0:19,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:19,3,17,GNB 47,3,7,"Jordan Love pass complete to Romeo Doubs for 16 yards (tackle by Ahkello Witherspoon) Replay Assistant challenged the first down ruling, and the original play was overturned. Jordan Love pass complete deep left to Romeo Doubs for 17 yards (tackle by Ahkello Witherspoon)",0.370,3.180
2,0:15,,,,,,Timeout #3 by Green Bay Packers,,
2,0:15,1,10,LAR 36,3,7,"Penalty on Jayden Reed: False Start, 5 yards (accepted) (no play)",3.180,2.850
2,0:15,1,15,LAR 41,3,7,Jordan Love pass complete short right to Jayden Reed for 11 yards (tackle by Russ Yeast),2.850,3.450
2,0:05,2,4,LAR 30,3,7,Jordan Love spiked the ball,3.450,2.740
2,0:04,3,4,LAR 30,3,7,Anders Carlson 48 yard field goal no good,2.740,1.400
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,3,7,"Lucas Havrisik kicks off 69 yards, returned by Keisean Nixon for 51 yards (tackle by Jordan Fuller)",0.000,2.060
3,14:53,1,10,GNB 47,3,7,"Jordan Love pass complete short left to Dontayvion Wicks for 11 yards. Dontayvion Wicks fumbles, recovered by Ahkello Witherspoon at LA-42",2.060,-1.730
3,14:45,1,10,LAR 42,3,7,Royce Freeman left end for 7 yards (tackle by Rashan Gary),1.730,2.130
3,14:03,2,3,LAR 49,3,7,Royce Freeman left tackle for 7 yards (tackle by Jonathan Owens),2.130,2.650
3,13:18,1,10,GNB 44,3,7,Brett Rypien pass complete short right to Demarcus Robinson for 15 yards (tackle by Anthony Johnson and Jonathan Owens),2.650,3.640
3,12:36,1,10,GNB 29,3,7,Royce Freeman right end for -5 yards (tackle by Isaiah McDuffie),3.640,2.420
3,12:04,2,15,GNB 34,3,7,"Brett Rypien pass complete to Puka Nacua for no gain. Penalty on Puka Nacua: Offensive Pass Interference, 10 yards (accepted) (no play)",2.420,1.080
3,11:40,2,25,GNB 44,3,7,Brett Rypien pass incomplete short left intended for Cooper Kupp (defended by Karl Brooks),1.080,0.430
3,11:35,3,25,GNB 44,3,7,Brett Rypien pass complete short right to Darrell Henderson for 8 yards (tackle by De'Vondre Campbell),0.430,0.880
3,10:50,4,17,GNB 36,3,7,"Penalty on LAR: Delay of Game, 5 yards (declined) (no play)",0.880,0.880
3,10:50,4,17,GNB 36,3,7,"Ethan Evans punts 20 yards, fair catch by Jayden Reed at GB-16",0.880,0.140
3,10:43,1,10,GNB 16,3,7,AJ Dillon right guard for 5 yards (tackle by Jonah Williams and Ahkello Witherspoon),-0.140,0.150
3,10:10,2,5,GNB 21,3,7,"AJ Dillon for no gain. Penalty on Josh Myers: Offensive Holding, 10 yards (accepted) (no play)",0.150,-1.150
3,9:46,2,15,GNB 11,3,7,Jordan Love pass complete short left to AJ Dillon for 3 yards (tackle by Quentin Lake and Jonah Williams),-1.150,-1.610
3,8:59,3,12,GNB 14,3,7,Jordan Love pass complete short left to Aaron Jones for 13 yards (tackle by Ahkello Witherspoon),-1.610,0.740
3,8:19,1,10,GNB 27,3,7,"Aaron Jones right end for 9 yards. Aaron Jones fumbles (forced by Jordan Fuller), recovered by Duke Shelley at GB-45 and returned for 9 yards (tackle by Jon Runyan)",0.740,-3.180
3,8:09,1,10,GNB 36,3,7,Royce Freeman left guard for 6 yards (tackle by Jaire Alexander),3.180,3.450
3,7:37,2,4,GNB 30,3,7,"Royce Freeman for no gain. Royce Freeman fumbles, recovered by Anthony Johnson at GB-23 (tackle by Isaiah McDuffie) Replay Assistant challenged the fumble ruling, and the original play was overturned. Royce Freeman left guard for 2 yards (tackle by Isaiah McDuffie)",3.450,3.010
3,7:17,3,2,GNB 28,3,7,Royce Freeman right tackle for -3 yards (tackle by Isaiah McDuffie and Jonathan Owens),3.010,1.350
3,6:34,4,5,GNB 31,3,7,Lucas Havrisik 49 yard field goal no good,1.350,-1.530
3,6:29,1,10,GNB 39,3,7,Jordan Love pass complete short left to Luke Musgrave for 6 yards (tackle by Byron Young),1.530,1.800
3,5:25,2,4,GNB 45,3,7,Jordan Love pass complete deep right to Dontayvion Wicks for 18 yards (tackle by Duke Shelley),1.800,3.120
3,5:05,1,10,LAR 37,3,7,Jordan Love pass complete deep left to Luke Musgrave for 25 yards,3.120,4.780
3,4:27,1,10,LAR 12,3,7,Aaron Jones left guard for 4 yards (tackle by Christian Rozeboom),4.780,4.830
3,3:44,2,6,LAR 8,3,7,AJ Dillon right guard for 4 yards (tackle by Russ Yeast and Byron Young),4.830,4.840
3,2:59,3,2,LAR 4,3,7,Jordan Love sacked by Aaron Donald for -4 yards,4.840,2.960
3,2:13,4,6,LAR 8,3,10,Anders Carlson 26 yard field goal good,2.960,3.000
3,2:10,,,GNB 35,3,10,"Anders Carlson kicks off 62 yards,",0.000,0.610
3,2:10,1,10,LAR 25,3,10,Brett Rypien pass complete short left to Tutu Atwell for 2 yards (tackle by Keisean Nixon),0.610,0.330
3,1:46,2,8,LAR 27,3,10,Brett Rypien pass incomplete short right intended for Cooper Kupp (defended by Jaire Alexander),0.330,-0.360
3,1:38,3,8,LAR 27,3,10,Brett Rypien pass complete deep right to Puka Nacua for 18 yards (tackle by Keisean Nixon),-0.360,1.930
3,0:55,1,10,LAR 45,3,10,Brett Rypien pass incomplete deep right intended for Tutu Atwell,1.930,1.380
3,0:46,2,10,LAR 45,3,10,Brett Rypien pass incomplete short right intended for Puka Nacua,1.380,0.700
3,0:43,3,10,LAR 45,3,10,Brett Rypien pass complete short left to Darrell Henderson for 8 yards (tackle by Eric Wilson),0.700,0.130
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,GNB 47,3,10,Royce Freeman left tackle for no gain (tackle by Colby Wooden and Rashan Gary),0.130,-2.130
4,14:56,1,10,GNB 48,3,10,Aaron Jones left tackle for 2 yards (tackle by Larrell Murchison and Kobie Turner),2.130,1.850
4,14:18,2,8,GNB 50,3,10,Jordan Love sacked by Byron Young for -8 yards. Jordan Love fumbles (forced by Byron Young),1.850,0.100
4,13:49,3,16,GNB 42,3,10,Jordan Love pass incomplete short middle intended for Aaron Jones,0.100,-0.590
4,13:44,4,16,GNB 42,3,10,"Daniel Whelan punts 42 yards, returned by Austin Trammell for 11 yards (tackle by Corey Ballentine and Dallin Leavitt)",-0.590,-0.740
4,13:35,1,10,LAR 27,3,10,Brett Rypien pass incomplete short left,0.740,0.200
4,13:29,2,10,LAR 27,3,10,Brett Rypien pass deep left (defended by Jaire Alexander) intended for Cooper Kupp is intercepted by Anthony Johnson at GB-49 and returned for 1 yard (tackle by Cooper Kupp),0.200,-2.260
4,13:23,1,10,GNB 50,3,10,Jordan Love pass complete short left to Dontayvion Wicks for 11 yards (tackle by Duke Shelley),2.260,2.980
4,12:51,1,10,LAR 39,3,10,Aaron Jones left end for 6 yards (tackle by Russ Yeast),2.980,3.250
4,12:13,2,4,LAR 33,3,10,AJ Dillon up the middle for 8 yards (tackle by Russ Yeast),3.250,3.910
4,11:34,1,10,LAR 25,3,10,Aaron Jones right tackle for 6 yards (tackle by Kobie Turner and Christian Rozeboom),3.910,4.200
4,10:54,2,4,LAR 19,3,10,Aaron Jones left end for 3 yards (tackle by Russ Yeast and Christian Rozeboom),4.200,4.060
4,10:10,3,1,LAR 16,3,10,AJ Dillon right tackle for no gain (tackle by Larrell Murchison and Michael Hoecht),4.060,2.530
4,9:11,4,1,LAR 16,3,13,Anders Carlson 34 yard field goal good,2.530,3.000
4,9:08,,,GNB 35,3,13,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
4,9:08,1,10,LAR 25,3,13,Brett Rypien pass incomplete short right intended for Puka Nacua (defended by Carrington Valentine),0.610,0.060
4,9:04,2,10,LAR 25,3,13,Brett Rypien pass complete short left to Tutu Atwell for 4 yards (tackle by Keisean Nixon),0.060,-0.100
4,8:44,3,6,LAR 29,3,13,Brett Rypien pass incomplete short left intended for Royce Freeman (defended by Karl Brooks),-0.100,-1.440
4,8:39,4,6,LAR 29,3,13,"Ethan Evans punts 65 yards, returned by Jayden Reed for 22 yards (tackle by Royce Freeman and Troy Reeder)",-1.440,-0.810
4,8:26,1,10,GNB 28,3,13,Jordan Love pass complete short right to Aaron Jones for 2 yards (tackle by Michael Hoecht),0.810,0.530
4,7:53,2,8,GNB 30,3,13,Aaron Jones left tackle for 2 yards (tackle by Kobie Turner and Russ Yeast),0.530,0.100
4,7:11,3,6,GNB 32,3,13,Jordan Love pass complete short right to Romeo Doubs for 10 yards (tackle by Duke Shelley),0.100,1.730
4,6:29,1,10,GNB 42,3,13,AJ Dillon right guard for no gain (tackle by Kobie Turner and Jordan Fuller),1.730,1.190
4,5:46,2,10,GNB 42,3,13,Jordan Love sacked by Byron Young for -2 yards,1.190,0.230
4,5:05,3,12,GNB 40,3,13,Jordan Love pass complete deep right to Christian Watson for 37 yards (tackle by Russ Yeast),0.230,4.040
4,4:32,1,10,LAR 23,3,13,Aaron Jones left end for 3 yards (tackle by Byron Young),4.040,3.900
4,3:46,2,7,LAR 20,3,19,"Jordan Love pass complete short middle to Luke Musgrave for 20 yards, touchdown",3.900,7.000
4,3:41,,,LAR 15,3,20,Anders Carlson kicks extra point good,0.000,0.000
4,3:41,,,GNB 35,3,20,"Anders Carlson kicks off 66 yards, returned by Austin Trammell for 36 yards (tackle by Jonathan Owens)",0.000,1.270
4,3:34,1,10,LAR 35,3,20,Brett Rypien pass complete short left to Tutu Atwell for 5 yards (tackle by Jonathan Owens),1.270,1.400
4,3:30,2,5,LAR 40,3,20,Brett Rypien pass complete short middle to Cooper Kupp for 14 yards (tackle by Isaiah McDuffie and Jonathan Owens),1.400,2.520
4,3:10,1,10,GNB 46,3,20,Brett Rypien pass complete short left to Tutu Atwell for 2 yards (tackle by Jaire Alexander),2.520,2.250
4,3:07,2,8,GNB 44,3,20,Brett Rypien pass incomplete deep middle intended for Cooper Kupp,2.250,1.550
4,3:03,3,8,GNB 44,3,20,Brett Rypien pass complete short left to Austin Trammell for 6 yards (tackle by Jaire Alexander),1.550,0.720
4,2:34,,,,,,Timeout #1 by Green Bay Packers,,
4,2:34,4,2,GNB 38,3,20,Brett Rypien pass incomplete deep middle intended for Cooper Kupp (defended by Preston Smith),0.720,-1.470
4,2:32,1,10,GNB 38,3,20,Emanuel Wilson up the middle for 5 yards (tackle by Jonah Williams and Christian Rozeboom),1.470,1.600
4,2:00,2,5,GNB 43,3,20,Emanuel Wilson left end for no gain (tackle by Troy Reeder and Ochaun Mathis),1.600,0.890
4,1:55,,,,,,Timeout #1 by Los Angeles Rams,,
4,1:55,3,5,GNB 43,3,20,Jordan Love pass complete short right to Jayden Reed for 4 yards (tackle by Quentin Lake),0.890,-0.260
4,1:42,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:42,4,1,GNB 47,3,20,Jordan Love up the middle for 2 yards (tackle by Jordan Fuller and Zach VanValkenburg),-0.260,2.190
4,1:36,,,,,,Timeout #3 by Los Angeles Rams,,
4,1:36,1,10,GNB 49,3,20,"Emanuel Wilson left end for 7 yards (tackle by Quentin Lake and Larrell Murchison). Penalty on Tucker Kraft: Offensive Holding, 10 yards (declined)",2.190,2.590
4,1:28,2,3,LAR 44,3,20,Emanuel Wilson right tackle for 31 yards (tackle by Ahkello Witherspoon),2.590,4.710
4,1:21,1,10,LAR 13,3,20,Jordan Love kneels for -1 yards,4.710,3.900
4,0:39,2,11,LAR 14,3,20,Jordan Love kneels for -2 yards,3.900,2.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
