Quarter,Time,Tm,Detail,LAR,GNB
2.0,14:24,Packers,Aaron Jones 3 yard rush (Anders Carlson kick),0,7
,1:42,Rams,Lucas Havrisik 52 yard field goal,3,7
3.0,2:10,Packers,Anders Carlson 26 yard field goal,3,10
4.0,9:08,Packers,Anders Carlson 34 yard field goal,3,13
,3:49,Packers,Luke Musgrave 20 yard pass from Jordan Love (Anders Carlson kick),3,20
