Unnamed: 0,LAR,GNB
First Downs,10,21
Rush-Yds-TDs,26-68-0,38-184-1
Cmp-Att-Yd-TD-INT,13-28-130-0-1,20-26-228-1-0
Sacked-Yards,1-11,4-21
Net Pass Yards,119,207
Total Yards,187,391
Fumbles-Lost,2-1,3-2
Turnovers,2,2
Penalties-Yards,5-36,8-57
Third Down Conv.,5-14,7-14
Fourth Down Conv.,0-2,1-1
Time of Possession,24:44,35:16
