Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tutu Atwell,LAR,7,4,13,0,,10,2.5,3,0.8,8.4,0,,0,0.0,0,62.2
Puka Nacua,LAR,7,3,32,0,3,27,9.0,5,1.7,5.9,0,,1,14.3,0,56.8
Darrell Henderson,LAR,2,2,16,0,,2,1.0,14,7.0,1.0,0,,0,0.0,0,100.0
Cooper Kupp,LAR,7,2,48,0,2,32,16.0,16,8.0,18.7,0,,0,0.0,1,16.1
Austin Trammell,LAR,1,1,6,0,,5,5.0,1,1.0,5.0,0,,0,0.0,0,91.7
Demarcus Robinson,LAR,1,1,15,0,1,6,6.0,9,9.0,6.0,0,,0,0.0,0,118.7
Royce Freeman,LAR,1,0,0,0,0,0,,0,,1.0,0,,0,0.0,0,39.6
Tyler Higbee,LAR,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Aaron Jones,GNB,6,4,26,0,1,-20,-5.0,46,11.5,-5.2,1,4.0,0,0.0,0,75.7
Dontayvion Wicks,GNB,4,4,49,0,3,37,9.3,12,3.0,9.3,0,,0,0.0,0,117.7
Luke Musgrave,GNB,4,3,51,1,2,25,8.3,26,8.7,7.8,0,,1,25.0,0,156.2
Jayden Reed,GNB,3,3,19,0,0,13,4.3,6,2.0,4.3,0,,0,0.0,0,93.1
Romeo Doubs,GNB,3,3,36,0,3,35,11.7,1,0.3,11.7,0,,0,0.0,0,116.7
AJ Dillon,GNB,1,1,3,0,0,-8,-8.0,11,11.0,-8.0,0,,0,0.0,0,79.2
Christian Watson,GNB,2,1,37,0,1,37,37.0,0,0.0,37.5,0,,0,0.0,0,95.8
Josiah Deguara,GNB,1,1,7,0,,5,5.0,2,2.0,5.0,0,,0,0.0,0,95.8
Malik Heath,GNB,1,0,0,0,,0,,0,,17.0,0,,1,100.0,0,39.6
