Quarter,Time,Tm,Detail,LAR,SFO
1.0,11:08,Rams,Brandin Cooks 10 yard pass from Jared Goff (Greg Zuerlein kick),7,0
,8:35,49ers,Robbie Gould 26 yard field goal,7,3
2.0,14:55,Rams,Todd Gurley 5 yard rush (Greg Zuerlein kick),14,3
,12:06,49ers,Deebo Samuel 19 yard rush (Robbie Gould kick),14,10
,6:47,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),21,10
,2:21,49ers,Raheem Mostert 16 yard rush (Robbie Gould kick),21,17
,0:46,49ers,Fred Warner 46 yard interception return (Robbie Gould kick),21,24
3.0,5:06,Rams,Cooper Kupp 22 yard pass from Jared Goff (Greg Zuerlein kick),28,24
4.0,6:06,49ers,George Kittle 7 yard pass from Jimmy Garoppolo (Robbie Gould kick),28,31
,2:30,Rams,Greg Zuerlein 52 yard field goal,31,31
,0:00,49ers,Robbie Gould 33 yard field goal,31,34
