Unnamed: 0,LAR,SFO
First Downs,24,19
Rush-Yds-TDs,24-72-2,23-119-2
Cmp-Att-Yd-TD-INT,27-46-323-2-1,16-27-248-1-2
Sacked-Yards,0-0,6-33
Net Pass Yards,323,215
Total Yards,395,334
Fumbles-Lost,2-0,2-0
Turnovers,1,2
Penalties-Yards,7-43,3-26
Third Down Conv.,5-13,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,32:21,27:39
