Quarter,Time,Tm,Detail,BUF,KAN
1.0,3:02,Chiefs,Priest Holmes 4 yard rush (Morten Andersen kick),0,7
2.0,11:34,Bills,Mike Hollis 23 yard field goal,3,7
,8:42,Bills,Mike Hollis 33 yard field goal,6,7
,6:40,Chiefs,Morten Andersen 38 yard field goal,6,10
,0:32,Bills,Eric Moulds 7 yard pass from Drew Bledsoe (Mike Hollis kick),13,10
3.0,2:29,Bills,Mike Hollis 27 yard field goal,16,10
4.0,4:53,Chiefs,Trent Green 9 yard rush (Morten Andersen kick),16,17
