Unnamed: 0,BUF,KAN
First Downs,21,22
Rush-Yds-TDs,26-133-0,37-128-2
Cmp-Att-Yd-TD-INT,24-36-225-1-1,12-20-197-0-0
Sacked-Yards,2-14,1-5
Net Pass Yards,211,192
Total Yards,344,320
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,13-139,5-39
Third Down Conv.,7-13,4-11
Fourth Down Conv.,0-0,2-2
Time of Possession,31:41,28:19
