Unnamed: 0,CIN,BAL
First Downs,20,22
Rush-Yds-TDs,21-101-1,28-155-0
Cmp-Att-Yd-TD-INT,24-35-217-1-1,19-32-174-1-1
Sacked-Yards,3-27,1-4
Net Pass Yards,190,170
Total Yards,291,325
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,4-20,6-48
Third Down Conv.,4-10,5-11
Fourth Down Conv.,0-1,0-1
Time of Possession,30:01,29:59
