Quarter,Time,Tm,Detail,CIN,BAL
1.0,8:03,Ravens,Justin Tucker 37 yard field goal,0,3
2.0,13:26,Ravens,Mark Andrews 11 yard pass from Lamar Jackson (Justin Tucker kick),0,10
,4:54,Bengals,Hayden Hurst 19 yard pass from Joe Burrow (Evan McPherson kick),7,10
,0:04,Bengals,Evan McPherson 40 yard field goal,10,10
3.0,10:49,Ravens,Justin Tucker 58 yard field goal,10,13
4.0,9:42,Ravens,Justin Tucker 25 yard field goal,10,16
,1:58,Bengals,Joe Burrow 1 yard rush (Evan McPherson kick),17,16
,0:00,Ravens,Justin Tucker 43 yard field goal,17,19
