Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Joe Mixon,CIN,14,78,0,4,55,3.9,23,1.6,2,7.0
Joe Burrow,CIN,3,6,1,2,6,2.0,0,0.0,0,
Samaje Perine,CIN,3,17,0,1,10,3.3,7,2.3,0,
Ja'Marr Chase,CIN,1,0,0,0,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Lamar Jackson,BAL,12,58,0,5,52,4.3,6,0.5,2,6.0
J.K. Dobbins,BAL,8,44,0,5,22,2.8,22,2.8,2,4.0
Kenyan Drake,BAL,4,26,0,1,24,6.0,2,0.5,0,
Devin Duvernay,BAL,3,24,0,2,24,8.0,0,0.0,0,
Mike Davis,BAL,1,3,0,,2,2.0,1,1.0,1,1.0
