Quarter,Time,Down,ToGo,Location,DEN,LAR,Detail,EPB,EPA
1,7:01,2,7,DEN 31,0,3,Baker Mayfield pass complete deep right to Brycen Hopkins for 22 yards (tackle by Justin Simmons),3.180,5.140
1,6:25,1,9,DEN 9,0,9,"Baker Mayfield pass complete short right to Tyler Higbee for 9 yards, touchdown",5.140,7.000
1,6:19,,,DEN 15,0,10,Matt Gay kicks extra point good,0.000,0.000
1,6:19,,,LAR 35,0,10,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,6:19,1,10,DEN 25,0,10,Latavius Murray up the middle for 4 yards (tackle by Greg Gaines and Bobby Wagner),0.610,0.600
1,5:39,2,6,DEN 29,0,10,"Latavius Murray up the middle for 3 yards (tackle by Earnest Brown). Penalty on Graham Glasgow: Offensive Holding, 10 yards (accepted) (no play)",0.600,-0.810
1,5:20,2,16,DEN 19,0,10,Russell Wilson pass short middle intended for Greg Dulcich is intercepted by Bobby Wagner at DEN-24 and returned for 13 yards (tackle by Chase Edmonds),-0.810,-4.840
1,5:12,1,10,DEN 11,0,10,Baker Mayfield pass complete short left to Tyler Higbee for 9 yards (tackle by K'Waun Williams),4.840,5.660
1,4:49,2,2,DEN 3,0,16,"Cam Akers up the middle for 2 yards, touchdown",5.660,7.000
1,4:45,,,DEN 15,0,17,Matt Gay kicks extra point good,0.000,0.000
1,4:45,,,LAR 35,0,17,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,4:45,1,10,DEN 25,0,17,Latavius Murray right tackle for 3 yards (tackle by Jonah Williams),0.610,0.470
1,4:07,2,7,DEN 28,0,17,Russell Wilson pass complete deep middle to Courtland Sutton for 20 yards (tackle by Jalen Ramsey),0.470,2.130
1,3:27,1,10,DEN 48,0,17,Russell Wilson sacked by Larrell Murchison for -9 yards,2.130,0.370
1,2:44,2,19,DEN 39,0,17,Russell Wilson pass complete short right to Jerry Jeudy for 23 yards (tackle by Bobby Wagner),0.370,3.050
1,2:09,1,10,LAR 38,0,17,"Chase Edmonds up the middle for no gain (tackle by Bobby Wagner and Earnest Brown). Penalty on Graham Glasgow: Offensive Holding, 10 yards (accepted) (no play)",3.050,2.390
1,1:49,,,,,,Timeout #1 by Denver Broncos,,
1,1:49,1,20,LAR 48,0,17,Chase Edmonds left end for -2 yards (tackle by Nick Scott and Troy Hill),2.390,0.750
1,1:13,2,23,DEN 49,0,17,"Russell Wilson pass incomplete intended for Courtland Sutton Replay Assistant challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass complete to Courtland Sutton for 12 yards (tackle by Jalen Ramsey)",0.750,1.820
1,0:52,3,10,LAR 38,0,17,Russell Wilson pass complete short right to Jerry Jeudy for 2 yards,1.820,0.880
1,0:43,4,8,LAR 36,3,17,Brandon McManus 54 yard field goal good,0.880,3.000
1,0:39,,,DEN 35,3,17,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,0:39,1,10,LAR 25,3,17,Cam Akers left tackle for 1 yard (tackle by DeShawn Williams),0.610,0.200
Quarter,Time,Down,ToGo,Location,DEN,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,LAR 26,3,17,Baker Mayfield pass complete short right to Tutu Atwell for 7 yards (tackle by Damarri Mathis),0.200,0.430
2,14:38,3,2,LAR 33,3,17,Baker Mayfield pass complete short left to Cam Akers for 17 yards (tackle by Damarri Mathis and Josey Jewell),0.430,2.260
2,14:07,1,10,LAR 50,3,17,Baker Mayfield pass complete short left to Cam Akers for 12 yards (tackle by Justin Simmons),2.260,3.050
2,13:26,1,10,DEN 38,3,17,Kyren Williams left tackle for 5 yards (tackle by Justin Simmons and Josey Jewell),3.050,3.180
2,12:45,2,5,DEN 33,3,17,Kyren Williams up the middle for 7 yards (tackle by Justin Simmons and Jonathan Harris),3.180,3.840
2,12:04,1,10,DEN 26,3,17,Baker Mayfield pass complete short left to Kyren Williams for 3 yards (tackle by Alex Singleton and Jonathon Cooper),3.840,3.700
2,11:16,2,7,DEN 23,3,17,Baker Mayfield pass complete short left to Tyler Higbee for 14 yards (tackle by K'Waun Williams and Kareem Jackson),3.700,5.140
2,10:33,1,9,DEN 9,3,17,Cam Akers left tackle for 2 yards (tackle by Alex Singleton),5.140,4.760
2,9:52,2,7,DEN 7,3,17,Baker Mayfield pass incomplete short middle intended for Van Jefferson,4.760,3.810
2,9:47,3,7,DEN 7,3,23,"Baker Mayfield pass complete short middle to Tyler Higbee for 7 yards, touchdown",3.810,7.000
2,9:42,,,DEN 15,3,24,Matt Gay kicks extra point good,0.000,0.000
2,9:42,,,LAR 35,3,24,"Penalty on Randy Gregory: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0.000,-2.260
2,9:42,1,10,LAR 50,3,24,"Matt Gay kicks off 45 yards, returned by Montrell Washington for 29 yards (tackle by Lance McCutcheon)",2.260,1.200
2,9:36,1,10,DEN 34,3,24,Latavius Murray left tackle for 10 yards (tackle by Jalen Ramsey),1.200,1.930
2,9:05,1,10,DEN 45,3,24,Latavius Murray left tackle for 4 yards (tackle by Jonah Williams),1.930,1.860
2,8:36,2,6,DEN 48,3,24,Latavius Murray up the middle for 7 yards (tackle by Bobby Wagner and Daniel Hardy),1.860,2.590
2,8:10,1,10,LAR 45,3,24,Russell Wilson pass incomplete short middle intended for Latavius Murray,2.590,2.040
2,8:07,2,10,LAR 45,3,24,Russell Wilson pass incomplete short left intended for Greg Dulcich (defended by Jalen Ramsey),2.040,1.360
2,8:01,3,10,LAR 45,3,24,Russell Wilson sacked by Larrell Murchison for -9 yards,1.360,-0.320
2,7:19,4,19,DEN 46,3,24,"Corliss Waitman punts 44 yards, fair catch by Brandon Powell at LA-10",-0.320,0.380
2,7:12,1,10,LAR 10,3,24,Cam Akers right end for 5 yards (tackle by Josey Jewell and Kareem Jackson),-0.380,-0.350
2,6:38,2,5,LAR 15,3,24,Baker Mayfield pass incomplete short right intended for Tyler Higbee,-0.350,-0.840
2,6:34,3,5,LAR 15,3,24,Baker Mayfield pass complete short middle to Brycen Hopkins for 16 yards (tackle by K'Waun Williams),-0.840,1.000
2,5:47,1,10,LAR 31,3,24,Brandon Powell left end for 3 yards (tackle by Jonathon Cooper),1.000,0.870
2,5:08,,,,,,Timeout #1 by Los Angeles Rams,,
2,5:08,2,7,LAR 34,3,24,Baker Mayfield pass complete short right to Brandon Powell for 8 yards (tackle by Alex Singleton),0.870,1.730
2,4:43,1,10,LAR 42,3,24,Baker Mayfield pass complete short middle to Brandon Powell for 5 yards (tackle by Alex Singleton),1.730,1.860
2,4:19,2,5,LAR 47,3,24,Baker Mayfield pass complete short left to Van Jefferson for 4 yards (tackle by Alex Singleton and Jonathon Cooper),1.860,1.690
2,3:34,3,1,DEN 49,3,24,Cam Akers left end for 5 yards (tackle by Jonathon Cooper and Alex Singleton),1.690,2.650
2,2:47,,,,,,Timeout #2 by Los Angeles Rams,,
2,2:47,1,10,DEN 44,3,24,Baker Mayfield pass complete short right to Tyler Higbee for 21 yards (tackle by DeShawn Williams and Alex Singleton),2.650,4.040
2,2:01,1,10,DEN 23,3,24,"Penalty on Baron Browning: Encroachment, 5 yards (accepted) (no play)",4.040,4.860
2,2:00,1,5,DEN 18,3,24,Cam Akers right tackle for 4 yards (tackle by Jonathon Cooper and Josey Jewell),4.860,4.950
2,1:18,2,1,DEN 14,3,24,Baker Mayfield pass complete short left to Tyler Higbee for 12 yards (tackle by Alex Singleton and K'Waun Williams),4.950,6.740
2,1:10,,,,,,Timeout #2 by Denver Broncos,,
2,1:10,1,2,DEN 2,3,30,"Cam Akers up the middle for 2 yards, touchdown",6.740,7.000
2,1:06,,,DEN 15,3,31,Matt Gay kicks extra point good,0.000,0.000
2,1:06,,,LAR 35,3,31,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,1:06,1,10,DEN 25,3,31,Russell Wilson pass complete short left to Greg Dulcich for 11 yards (tackle by Troy Hill),0.610,1.330
2,0:47,1,10,DEN 36,3,31,Russell Wilson sacked by Bobby Wagner for -4 yards,1.330,0.250
2,0:40,2,14,DEN 32,3,31,Russell Wilson scrambles right end for 15 yards (tackle by Taylor Rapp),0.250,2.060
2,0:19,1,10,DEN 47,3,31,Russell Wilson pass incomplete short right intended for Greg Dulcich,2.060,1.520
2,0:16,2,10,DEN 47,3,31,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,1.520,0.830
2,0:09,3,10,DEN 47,3,31,Russell Wilson pass complete deep right to Jerry Jeudy for 22 yards (tackle by Derion Kendrick),0.830,3.510
2,0:01,1,10,LAR 31,6,31,Brandon McManus 49 yard field goal good,3.510,3.000
Quarter,Time,Down,ToGo,Location,DEN,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,6,31,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,6,31,"Russell Wilson pass complete to Greg Dulcich for 10 yards (tackle by Taylor Rapp) LAR challenged the fumble ruling, and the original play was overturned. Russell Wilson pass complete short middle to Greg Dulcich for 9 yards (tackle by Taylor Rapp)",0.610,1.280
3,14:46,2,1,DEN 34,6,31,Latavius Murray right tackle for 4 yards (tackle by Leonard Floyd),1.280,1.470
3,14:23,1,10,DEN 38,6,31,Russell Wilson pass complete short left to Jerry Jeudy for 18 yards (tackle by Bobby Wagner),1.470,2.650
3,13:56,1,10,LAR 44,6,31,"Latavius Murray up the middle for no gain (tackle by Taylor Rapp). Penalty on Billy Turner: Offensive Holding, 10 yards (accepted) (no play)",2.650,1.990
3,13:39,1,20,DEN 46,6,31,Russell Wilson pass complete short left to Jerry Jeudy for 16 yards (tackle by Taylor Rapp and Troy Hill),1.990,2.920
3,13:06,2,4,LAR 38,6,31,Russell Wilson pass intended for Greg Dulcich is intercepted by Jalen Ramsey in end zone and returned for no gain,2.920,-0.280
3,12:57,1,10,LAR 20,6,31,Cam Akers up the middle for 4 yards (tackle by Jonathan Harris and Justin Simmons),0.280,0.270
3,12:15,2,6,LAR 24,6,31,Cam Akers up the middle for 10 yards (tackle by Alex Singleton and Justin Simmons),0.270,1.200
3,11:33,1,10,LAR 34,6,31,Cam Akers left tackle for 21 yards (tackle by Justin Simmons and Damarri Mathis),1.200,2.590
3,10:46,1,10,DEN 45,6,31,Cam Akers right end for no gain (tackle by Jonathon Cooper and Justin Simmons),2.590,2.040
3,10:00,2,10,DEN 45,6,31,Baker Mayfield pass complete short left to Van Jefferson for 11 yards (tackle by Alex Singleton),2.040,3.310
3,9:18,1,10,DEN 34,6,31,Cam Akers up the middle for 5 yards (tackle by Josey Jewell and Alex Singleton),3.310,3.450
3,8:35,2,5,DEN 29,6,31,Baker Mayfield scrambles left end for 2 yards (tackle by Alex Singleton),3.450,3.010
3,7:54,3,3,DEN 27,6,31,Baker Mayfield pass complete short left to Malcolm Brown for 2 yards (tackle by Josey Jewell),3.010,1.950
3,7:28,4,1,DEN 25,6,31,Malcolm Brown up the middle for 2 yards (tackle by Eyioma Uwazurike),1.950,4.040
3,6:50,1,10,DEN 23,6,31,Baker Mayfield pass incomplete short right intended for Tyler Higbee,4.040,3.500
3,6:47,2,10,DEN 23,6,31,Baker Mayfield pass complete short right to Tyler Higbee for 10 yards (tackle by Damarri Mathis),3.500,4.710
3,6:06,1,10,DEN 13,6,31,Cam Akers up the middle for 1 yard (tackle by Mike Purcell and Alex Singleton),4.710,4.390
3,5:23,2,8,DEN 11,6,31,Cam Akers up the middle for 1 yard (tackle by Kareem Jackson),4.390,3.450
3,4:38,3,8,DEN 11,6,31,Baker Mayfield pass complete short left to Brandon Powell for -1 yards (tackle by Alex Singleton and Josey Jewell),3.450,2.630
3,3:53,4,9,DEN 12,6,34,Matt Gay 30 yard field goal good,2.630,3.000
3,3:49,,,LAR 35,6,34,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,3:49,1,10,DEN 25,6,34,Russell Wilson pass incomplete short right intended for Jerry Jeudy,0.610,0.060
3,3:46,2,10,DEN 25,6,34,Russell Wilson sacked by Michael Hoecht for -6 yards,0.060,-1.510
3,3:06,3,16,DEN 19,6,34,Russell Wilson sacked by and Michael Hoecht for -3 yards and Jonah Williams for -3 yards,-1.510,-2.390
3,2:29,4,19,DEN 16,6,34,"Corliss Waitman punts 56 yards, returned by Brandon Powell for 12 yards (tackle by Delarrin Turner-Yell)",-2.390,-1.600
3,2:18,1,10,LAR 40,6,34,Cam Akers up the middle for 8 yards (tackle by Josey Jewell),1.600,2.130
3,1:31,2,2,LAR 48,6,34,Baker Mayfield pass complete short left to Brycen Hopkins for 19 yards (tackle by Alex Singleton and Nik Bonitto),2.130,3.310
3,0:40,1,10,DEN 34,6,34,Kyren Williams left tackle for no gain (tackle by Jonathan Harris and Josey Jewell),3.310,2.840
Quarter,Time,Down,ToGo,Location,DEN,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,DEN 33,6,34,Baker Mayfield pass incomplete short middle intended for Van Jefferson,2.840,2.150
4,14:55,3,10,DEN 33,6,34,Malcolm Brown up the middle for 17 yards (tackle by Randy Gregory and P.J. Locke),2.150,4.580
4,14:07,1,10,DEN 15,6,34,Cam Akers up the middle for 3 yards (tackle by Alex Singleton and Randy Gregory),4.580,4.390
4,13:24,2,7,DEN 13,6,34,Baker Mayfield pass complete short right to Van Jefferson for 4 yards (tackle by Damarri Mathis),4.390,4.390
4,12:37,3,3,DEN 9,6,34,"Baker Mayfield pass incomplete. Penalty on Randy Gregory: Roughing the Passer, 5 yards (accepted) (no play)",4.390,6.280
4,12:37,1,4,DEN 4,6,40,"Cam Akers left end for 4 yards, touchdown",6.280,7.000
4,12:31,,,DEN 15,6,41,Matt Gay kicks extra point good,0.000,0.000
4,12:31,,,LAR 35,6,41,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,12:31,1,10,DEN 25,6,41,Russell Wilson sacked by Leonard Floyd for -9 yards,0.610,-1.290
4,12:03,2,19,DEN 16,6,41,Russell Wilson pass complete short left to Latavius Murray for 6 yards (tackle by Bobby Brown),-1.290,-1.020
4,11:36,3,13,DEN 22,6,41,Russell Wilson pass complete short middle to Courtland Sutton for 14 yards (tackle by Nick Scott and Troy Hill),-1.020,1.330
4,11:08,1,10,DEN 36,6,41,Russell Wilson pass complete short middle to Greg Dulcich for 8 yards (tackle by Taylor Rapp),1.330,1.870
4,10:38,2,2,DEN 44,6,41,Latavius Murray up the middle for 1 yard (tackle by Larrell Murchison and Ernest Jones),1.870,1.290
4,10:12,3,1,DEN 45,6,41,Russell Wilson up the middle for 2 yards (tackle by Larrell Murchison and Bobby Wagner),1.290,2.060
4,9:41,1,10,DEN 47,6,41,Russell Wilson pass incomplete short left intended for Latavius Murray,2.060,1.520
4,9:38,2,10,DEN 47,6,41,Russell Wilson pass complete short left to Courtland Sutton for 6 yards (tackle by Troy Hill),1.520,1.620
4,9:20,3,4,LAR 47,6,41,Russell Wilson pass incomplete short right,1.620,0.130
4,9:12,4,4,LAR 47,6,41,Russell Wilson pass complete deep left to Jerry Jeudy for 36 yards (tackle by Russ Yeast),0.130,4.840
4,8:42,1,10,LAR 11,6,41,Russell Wilson pass incomplete short left intended for Jerry Jeudy,4.840,4.140
4,8:38,2,10,LAR 11,12,41,"Russell Wilson pass complete short right to Greg Dulcich for 11 yards, touchdown",4.140,7.000
4,8:30,,,LAR 2,12,41,"Penalty on Jalen Ramsey: Defensive Pass Interference, 1 yard (accepted) (no play)",0.000,0.000
4,8:30,,,LAR 1,12,41,Penalty on Troy Hill: Defensive Holding (accepted) (no play),0.000,1.000
4,8:30,,,LAR 1,14,41,"Two Point Attempt: Latavius Murray rushes, conversion succeeds.",1.000,1.000
4,8:30,,,DEN 35,14,41,"Brandon McManus kicks onside 13 yards, returned by Tyler Higbee for 7 yards (tackle by Nik Bonitto)",0.000,2.850
4,8:28,1,10,DEN 41,14,41,Kyren Williams right tackle for -2 yards (tackle by Jonathan Harris),2.850,2.040
4,7:45,2,12,DEN 43,14,41,Kyren Williams up the middle for 5 yards (tackle by Josey Jewell),2.040,2.020
4,7:04,3,7,DEN 38,14,41,Kyren Williams left tackle for 3 yards (tackle by DeShawn Williams),2.020,0.980
4,6:21,4,4,DEN 35,14,44,Matt Gay 53 yard field goal good,0.980,3.000
4,6:16,,,LAR 35,14,44,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,6:16,1,10,DEN 25,14,44,Brett Rypien pass complete short middle to Chase Edmonds for 3 yards (tackle by Bobby Wagner),0.610,0.470
4,5:51,2,7,DEN 28,14,44,Brett Rypien pass complete short left to Freddie Swain for 11 yards (tackle by Bobby Wagner and Russ Yeast),0.470,1.530
4,5:21,1,10,DEN 39,14,44,Chase Edmonds up the middle for 7 yards (tackle by Taylor Rapp and Troy Hill),1.530,1.930
4,5:04,2,3,DEN 46,14,44,Brett Rypien pass complete short middle to Chase Edmonds for 19 yards (tackle by Cobie Durant),1.930,3.250
4,4:38,1,10,LAR 35,14,44,Brett Rypien pass complete short left to Courtland Sutton for 12 yards (tackle by Jalen Ramsey),3.250,4.040
4,4:34,1,10,LAR 23,14,44,Brett Rypien pass incomplete deep right intended for Jerry Jeudy,4.040,3.500
4,4:29,2,10,LAR 23,14,44,Brett Rypien pass incomplete short left intended for Jalen Virgil,3.500,2.810
4,4:25,3,10,LAR 23,14,44,Brett Rypien pass incomplete short middle intended for Marlon Mack,2.810,1.930
4,4:21,4,10,LAR 23,14,50,"Brett Rypien pass short right intended for Freddie Swain is intercepted by Cobie Durant at LA-15 and returned for 85 yards, touchdown",1.930,-7.000
4,4:08,,,DEN 15,14,51,Matt Gay kicks extra point good,0.000,0.000
4,4:08,,,LAR 35,14,51,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,4:08,1,10,DEN 25,14,51,Marlon Mack up the middle for 7 yards (tackle by Quentin Lake and Russ Yeast),0.610,1.010
4,3:31,2,3,DEN 32,14,51,Marlon Mack up the middle for 7 yards (tackle by Russ Yeast and T.J. Carter),1.010,1.530
4,2:55,1,10,DEN 39,14,51,Marlon Mack right tackle for 4 yards (tackle by Ernest Jones),1.530,1.530
4,2:19,2,6,DEN 43,14,51,Chase Edmonds right tackle for 25 yards (tackle by Russ Yeast),1.530,3.450
4,2:00,1,10,LAR 32,14,51,Chase Edmonds right end for no gain (tackle by Bobby Brown),3.450,2.900
4,1:29,2,10,LAR 32,14,51,Chase Edmonds up the middle for 3 yards (tackle by Christian Rozeboom),2.900,2.610
4,0:55,3,7,LAR 29,14,51,Chase Edmonds up the middle for -2 yards (tackle by Keir Thomas),2.610,1.320
4,0:17,4,9,LAR 31,14,51,Marlon Mack right end for 4 yards (tackle by Jalen Ramsey and Russ Yeast),1.320,-0.740
4,0:06,1,10,LAR 27,14,51,Bryce Perkins kneels for -2 yards,0.740,-0.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
