Unnamed: 0,DEN,LAR
First Downs,18,26
Rush-Yds-TDs,20-104-0,36-158-3
Cmp-Att-Yd-TD-INT,19-35-259-1-4,24-28-230-2-0
Sacked-Yards,6-40,0-0
Net Pass Yards,219,230
Total Yards,323,388
Fumbles-Lost,0-0,1-0
Turnovers,4,0
Penalties-Yards,6-55,3-6
Third Down Conv.,3-10,6-10
Fourth Down Conv.,1-3,1-1
Time of Possession,23:25,36:35
