Quarter,Time,Tm,Detail,HOU,IND
1.0,1:52,Colts,Parris Campbell 51 yard pass from Carson Wentz (Michael Badgley kick),0,7
2.0,12:59,Colts,Michael Badgley 41 yard field goal,0,10
,6:16,Texans,Ka'imi Fairbairn 31 yard field goal,3,10
3.0,11:50,Colts,Mo Alie-Cox 28 yard pass from Carson Wentz (Michael Badgley kick),3,17
,6:37,Colts,Jonathan Taylor 4 yard rush (Michael Badgley kick),3,24
4.0,4:47,Colts,Jonathan Taylor 11 yard rush (Michael Badgley kick),3,31
