Unnamed: 0,HOU,IND
First Downs,19,15
Rush-Yds-TDs,29-124-0,26-174-2
Cmp-Att-Yd-TD-INT,29-43-243-0-2,11-20-223-2-0
Sacked-Yards,2-14,2-9
Net Pass Yards,229,214
Total Yards,353,388
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,4-25,2-10
Third Down Conv.,9-17,3-10
Fourth Down Conv.,1-2,1-1
Time of Possession,34:33,25:27
