Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DAL 20,0,0,Joseph Randle left tackle for 2 yards (tackle by Patrick Chung),0.280,0.000
1,14:21,2,8,DAL 22,0,0,Brandon Weeden pass incomplete deep right intended for Devin Street,0.000,-0.690
1,14:15,3,8,DAL 22,0,0,Brandon Weeden pass incomplete deep left intended for Terrance Williams,-0.690,-1.900
1,14:08,4,8,DAL 22,0,0,"Chris Jones punts 58 yards, returned by Danny Amendola for 12 yards (tackle by Corey White)",-1.900,-1.070
1,13:58,1,10,NWE 32,0,0,"Tom Brady pass complete short middle to Julian Edelman for 21 yards. Penalty on J.J. Wilcox: Unnecessary Roughness, 15 yards",1.070,3.450
1,13:33,1,10,DAL 32,0,0,Tom Brady pass incomplete short left intended for Dion Lewis,3.450,2.900
1,13:27,2,10,DAL 32,0,0,Tom Brady pass incomplete short left intended for Dion Lewis (defended by Sean Lee),2.900,2.210
1,13:22,3,10,DAL 32,0,0,Tom Brady sacked by Rolando McClain for -9 yards,2.210,0.530
1,12:49,4,19,DAL 41,0,0,Ryan Allen punts 28 yards,0.530,0.320
1,12:38,1,10,DAL 13,0,0,Joseph Randle right tackle for 5 yards (tackle by Patrick Chung),-0.320,-0.140
1,11:57,2,5,DAL 18,0,0,Joseph Randle middle for 2 yards (tackle by Dont'a Hightower),-0.140,-0.590
1,11:17,3,3,DAL 20,0,0,Brandon Weeden sacked by Dont'a Hightower for -9 yards,-0.590,-2.490
1,10:38,4,12,DAL 11,0,0,"Chris Jones punts 59 yards, returned by Danny Amendola for 25 yards (tackle by L.P. Ladouceur)",-2.490,-2.590
1,10:23,1,10,DAL 45,0,0,Tom Brady pass complete short left to Dion Lewis for 14 yards (tackle by Barry Church),2.590,3.510
1,10:08,1,10,DAL 31,0,0,Tom Brady sacked by Greg Hardy for -7 yards,3.510,2.020
1,9:31,2,17,DAL 38,0,0,Dion Lewis middle for 5 yards (tackle by Barry Church),2.020,2.020
1,9:01,3,12,DAL 33,0,0,Tom Brady pass complete short middle to Danny Amendola for 2 yards (tackle by Sean Lee),2.020,1.320
1,8:24,4,10,DAL 31,3,0,Stephen Gostkowski 49 yard field goal good,1.320,3.000
1,8:24,,,NWE 35,3,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,8:19,1,10,DAL 20,3,0,Brandon Weeden pass complete short middle to Joseph Randle for 5 yards (tackle by Jamie Collins),0.280,0.410
1,7:47,2,5,DAL 25,3,0,Joseph Randle right tackle for 3 yards (tackle by Dont'a Hightower),0.410,0.100
1,7:07,3,2,DAL 28,3,0,"Brandon Weeden sacked by Jamie Collins for -7 yards. Penalty on Jabaal Sheard: Defensive Holding, 5 yards (no play)",0.100,1.140
1,6:38,1,10,DAL 33,3,0,Joseph Randle middle for 2 yards (tackle by Dont'a Hightower and Jamie Collins),1.140,0.860
1,6:03,2,8,DAL 35,3,0,Joseph Randle right end for no gain (tackle by Jamie Collins and Malcom Brown),0.860,0.170
1,5:20,3,8,DAL 35,3,0,"Penalty on Rob Ninkovich: Neutral Zone Infraction, 5 yards (no play)",0.170,0.830
1,4:57,3,3,DAL 40,3,0,"Brandon Weeden pass complete short left to Terrance Williams for 11 yards (tackle by Malcolm Butler). Penalty on Ronald Leary: Illegal Use of Hands (Offsetting), Penalty on Tarell Brown: Illegal Use of Hands (Offsetting) (no play)",0.830,0.830
1,4:35,3,3,DAL 40,3,0,Brandon Weeden pass complete short left to Cole Beasley for 6 yards,0.830,1.990
1,4:03,1,10,DAL 46,3,0,Joseph Randle right guard for 13 yards (tackle by Devin McCourty),1.990,2.850
1,3:23,1,10,NWE 41,3,0,Joseph Randle left tackle for 2 yards (tackle by Sealver Siliga),2.850,2.580
1,2:36,2,8,NWE 39,3,0,Brandon Weeden pass incomplete short left intended for Lucky Whitehead (defended by Devin McCourty),2.580,1.880
1,2:29,3,8,NWE 39,3,0,Brandon Weeden pass complete short middle to Cole Beasley for 6 yards (tackle by Patrick Chung),1.880,1.200
1,1:52,4,2,NWE 33,3,3,Dan Bailey 51 yard field goal good,1.200,3.000
1,1:52,,,DAL 35,3,3,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,1:46,1,10,NWE 20,3,3,"LeGarrette Blount right guard for 4 yards (tackle by Barry Church and Sean Lee). Penalty on Greg Hardy: Illegal Use of Hands, 5 yards",0.280,0.870
1,1:21,1,10,NWE 29,3,3,LeGarrette Blount left end for 11 yards (tackle by Morris Claiborne),0.870,1.600
1,1:01,1,10,NWE 40,3,3,LeGarrette Blount middle for 4 yards (tackle by Greg Hardy),1.600,1.590
1,0:28,2,6,NWE 44,3,3,Dion Lewis left end for 5 yards (tackle by Rolando McClain and Tyrone Crawford),1.590,1.550
Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NWE 49,3,3,LeGarrette Blount left tackle for -1 yards (tackle by Barry Church and Rolando McClain),1.550,-0.190
2,14:17,4,2,NWE 48,3,3,"Ryan Allen punts 40 yards, returned by Cole Beasley for 8 yards (tackle by Brandon King)",-0.190,-0.280
2,14:06,1,10,DAL 20,3,3,Darren McFadden left tackle for 3 yards (tackle by Dominique Easley),0.280,0.140
2,13:29,2,7,DAL 23,3,3,Brandon Weeden pass complete short left to Darren McFadden for 6 yards (tackle by Jamie Collins),0.140,0.230
2,12:50,3,1,DAL 29,3,3,Brandon Weeden pass incomplete short right intended for Cole Beasley,0.230,-1.440
2,12:43,4,1,DAL 29,3,3,"Chris Jones punts 53 yards, out of bounds",-1.440,-0.040
2,12:36,1,10,NWE 18,3,3,Tom Brady pass complete short right to Rob Gronkowski for 6 yards (tackle by Byron Jones),0.040,0.410
2,11:51,2,4,NWE 24,3,3,Dion Lewis middle for 6 yards (tackle by Byron Jones and Rolando McClain),0.410,0.940
2,11:17,1,10,NWE 30,3,3,"Tom Brady sacked by Greg Hardy for -9 yards. Tom Brady fumbles (forced by Greg Hardy), recovered by Julian Edelman at NWE-32",0.940,0.660
2,10:30,2,8,NWE 32,3,3,"Tom Brady pass complete deep left to Danny Amendola for 33 yards (tackle by Brandon Carr). Penalty on Keshawn Martin: Offensive Pass Interference, 10 yards (no play)",0.660,-0.690
2,10:07,2,18,NWE 22,3,3,Tom Brady pass complete short middle to Keshawn Martin for 7 yards (tackle by Kyle Wilber),-0.690,-0.430
2,9:22,3,11,NWE 29,3,3,Tom Brady sacked by Jack Crawford for -4 yards,-0.430,-1.700
2,8:49,4,15,NWE 25,3,3,"Ryan Allen punts 60 yards, returned by Lucky Whitehead for -2 yards (tackle by Matt Slater)",-1.700,0.320
