Quarter,Time,Tm,Detail,NWE,DAL
1.0,8:19,Patriots,Stephen Gostkowski 49 yard field goal,3,0
,1:46,Cowboys,Dan Bailey 51 yard field goal,3,3
2.0,3:39,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),10,3
,0:03,Patriots,Stephen Gostkowski 57 yard field goal,13,3
3.0,9:48,Patriots,Dion Lewis 10 yard pass from Tom Brady (Stephen Gostkowski kick),20,3
,1:17,Cowboys,Dan Bailey 23 yard field goal,20,6
4.0,12:58,Patriots,Julian Edelman 59 yard pass from Tom Brady (Stephen Gostkowski kick),27,6
,4:41,Patriots,Stephen Gostkowski 34 yard field goal,30,6
