Unnamed: 0,NWE,DAL
First Downs,20,18
Rush-Yds-TDs,23-109-1,24-102-0
Cmp-Att-Yd-TD-INT,20-27-275-2-0,26-39-187-0-1
Sacked-Yards,5-28,3-24
Net Pass Yards,247,163
Total Yards,356,265
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,9-65,7-50
Third Down Conv.,3-10,4-14
Fourth Down Conv.,0-1,1-2
Time of Possession,26:48,33:12
