Unnamed: 0,DET,KAN
First Downs,16,24
Rush-Yds-TDs,14-81-0,32-206-4
Cmp-Att-Yd-TD-INT,23-38-227-1-2,20-28-149-2-0
Sacked-Yards,6-32,3-15
Net Pass Yards,195,134
Total Yards,276,340
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,8-81,3-20
Third Down Conv.,2-12,8-13
Fourth Down Conv.,1-2,0-0
Time of Possession,25:46,34:14
