Unnamed: 0,ATL,GNB
First Downs,26,28
Rush-Yds-TDs,24-91-1,30-179-2
Cmp-Att-Yd-TD-INT,24-39-375-4-1,24-36-327-3-0
Sacked-Yards,1-1,1-4
Net Pass Yards,374,323
Total Yards,465,502
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,3-11,5-40
Third Down Conv.,5-11,7-12
Fourth Down Conv.,3-3,0-1
Time of Possession,26:59,33:01
