Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 69 yards, returned by J.R. Reed for 24 yards (tackle by Mason Unck)",0.000,0.610
1,14:54,1,10,PHI 25,0,0,Donovan McNabb pass complete to Todd Pinkston for 65 yards (tackle by Daylon McCutcheon),0.610,4.910
1,14:23,1,10,CLE 10,6,0,"Donovan McNabb pass complete to Chad Lewis for 10 yards, touchdown",4.910,7.000
1,,,,CLE 2,7,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,0,"David Akers kicks off 57 yards, returned by Andre King for 21 yards (tackle by Ike Reese)",0.000,1.200
1,14:12,1,10,CLE 34,7,0,Jeff Garcia pass complete to Aaron Shea for 4 yards (tackle by Dhani Jones),1.200,1.200
1,13:42,2,6,CLE 38,7,0,Jeff Garcia pass complete to Lee Suggs for 5 yards (tackle by Michael Lewis),1.200,1.160
1,13:18,3,1,CLE 43,7,0,Terrelle Smith up the middle for 2 yards (tackle by Darwin Walker),1.160,1.930
1,12:43,1,10,CLE 45,7,0,William Green right tackle for 17 yards (tackle by Brian Dawkins),1.930,3.050
1,12:02,1,10,PHI 38,7,0,William Green up the middle for 3 yards (tackle by Jeremiah Trotter),3.050,2.910
1,11:20,2,7,PHI 35,7,0,Jeff Garcia sacked by Jevon Kearse for -2 yards,2.910,1.950
1,10:46,,,,7,0,Timeout #1 by Cleveland Browns,0.000,1.950
1,10:46,3,9,PHI 37,7,0,Jeff Garcia pass complete to Aaron Shea for 9 yards (tackle by Lito Sheppard),1.950,3.710
1,10:02,1,10,PHI 28,7,0,Lee Suggs right end for 17 yards (tackle by Sheldon Brown),3.710,4.840
1,9:32,1,10,PHI 11,7,6,"William Green left tackle for 11 yards, touchdown",4.840,7.000
1,,,,PHI 2,7,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,7,7,"Phil Dawson kicks off 64 yards, returned by J.R. Reed for 22 yards (tackle by Chris Crocker)",0.000,0.810
1,9:18,1,10,PHI 28,7,7,Brian Westbrook left guard for 3 yards,0.810,0.670
1,8:47,2,7,PHI 31,7,7,Brian Westbrook right end for 12 yards (tackle by Robert Griffith),0.670,1.800
1,8:15,1,10,PHI 43,7,7,Donovan McNabb pass complete to Terrell Owens for 18 yards (tackle by Robert Griffith),1.800,2.980
1,7:43,1,10,CLE 39,13,7,"Donovan McNabb pass complete to Terrell Owens for 39 yards, touchdown",2.980,7.000
1,,,,CLE 2,14,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,14,7,"David Akers kicks off 61 yards, returned by Andre King for 21 yards (tackle by Keith Adams)",0.000,0.940
1,7:28,1,10,CLE 30,14,7,William Green left guard for 12 yards (tackle by Michael Lewis),0.940,1.730
1,6:49,1,10,CLE 42,14,7,Lee Suggs right end for 12 yards (tackle by Lito Sheppard),1.730,2.520
1,6:15,1,10,PHI 46,14,7,William Green left guard for 1 yard (tackle by Michael Lewis),2.520,2.110
1,5:35,2,9,PHI 45,14,7,"Jeff Garcia pass complete to Andre King for 5 yards (tackle by Jeremiah Trotter). Penalty on Ross Verba: Illegal Formation, 5 yards (no play)",2.110,1.440
1,5:05,2,14,CLE 50,14,7,Jeff Garcia pass incomplete intended for Dennis Northcutt is intercepted by Lito Sheppard at PHI-4,1.440,0.380
1,4:54,1,10,PHI 4,14,7,Donovan McNabb pass complete to Chad Lewis for 6 yards (tackle by Warrick Holdman),-0.380,-0.340
1,4:10,2,4,PHI 10,14,7,Donovan McNabb pass complete to Josh Parry for 8 yards (tackle by Chaun Thompson),-0.340,0.040
1,3:31,1,10,PHI 18,14,7,Brian Westbrook left tackle for 6 yards (tackle by Ebenezer Ekuban),0.040,0.410
1,3:31,2,4,PHI 24,14,7,"Penalty on Artis Hicks: False Start, 5 yards (no play)",0.410,-0.320
1,2:40,2,9,PHI 19,14,7,Donovan McNabb pass complete to Chad Lewis for 15 yards (tackle by Warrick Holdman),-0.320,1.200
1,2:21,1,10,PHI 34,14,7,Brian Westbrook right tackle for -2 yards,1.200,0.390
1,1:38,2,12,PHI 32,14,7,Brian Westbrook right tackle for 3 yards (tackle by Orpheus Roye),0.390,0.100
1,0:54,3,9,PHI 35,14,7,Donovan McNabb pass complete to Brian Westbrook for 2 yards (tackle by Daylon McCutcheon),0.100,-0.910
1,0:20,4,7,PHI 37,14,7,Dirk Johnson punts 37 yards,-0.910,-0.670
1,0:12,1,10,CLE 26,14,7,Jeff Garcia pass complete to Steve Heiden for 10 yards (tackle by Lito Sheppard),0.670,1.330
Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 36,14,7,Lee Suggs right guard for 3 yards (tackle by Keith Adams),1.330,1.200
2,14:23,2,7,CLE 39,14,7,Lee Suggs right guard for 15 yards (tackle by Brian Dawkins),1.200,2.520
2,13:40,1,10,PHI 46,14,7,Jeff Garcia pass complete to Steve Heiden for 11 yards (tackle by Nate Wayne),2.520,3.250
2,13:07,1,10,PHI 35,14,7,Jeff Garcia pass complete to Dennis Northcutt for 11 yards (tackle by Lito Sheppard),3.250,3.970
2,12:24,1,10,PHI 24,14,7,"William Green for 11 yards (tackle by Brian Dawkins). Penalty on Kelvin Garmon: Offensive Holding, 10 yards (no play)",3.970,3.310
2,12:06,1,20,PHI 34,14,7,Lee Suggs right guard for 2 yards (tackle by Jeremiah Trotter),3.310,2.350
2,11:30,2,18,PHI 32,14,7,Jeff Garcia pass incomplete intended for Dennis Northcutt,2.350,1.690
