Quarter,Time,Tm,Detail,PHI,CLE
1,14:17,Eagles,Chad Lewis 10 yard pass from Donovan McNabb (David Akers kick),7,0
,9:26,Browns,William Green 11 yard rush (Phil Dawson kick),7,7
,7:33,Eagles,Terrell Owens 39 yard pass from Donovan McNabb (David Akers kick),14,7
2,10:39,Browns,Phil Dawson 38 yard field goal,14,10
,8:31,Eagles,Terrell Owens 40 yard pass from Donovan McNabb (David Akers kick),21,10
,3:11,Browns,Lee Suggs 13 yard rush (Phil Dawson kick),21,17
3,7:31,Browns,Steve Heiden 21 yard pass from Jeff Garcia (Phil Dawson kick),21,24
4,14:13,Eagles,L.J. Smith 2 yard pass from Donovan McNabb (David Akers kick),28,24
,10:47,Eagles,David Akers 38 yard field goal,31,24
,0:30,Browns,Jeff Garcia 4 yard rush (Phil Dawson kick),31,31
OT,5:02,Eagles,David Akers 50 yard field goal,34,31
