Unnamed: 0,PHI,CLE
First Downs,23,27
Rush-Yds-TDs,23-121-0,34-165-3
Cmp-Att-Yd-TD-INT,28-43-376-4-1,21-32-236-1-1
Sacked-Yards,2-9,3-7
Net Pass Yards,367,229
Total Yards,488,394
Fumbles-Lost,0-0,3-2
Turnovers,1,3
Penalties-Yards,11-101,10-80
Third Down Conv.,2-10,9-16
Fourth Down Conv.,0-1,0-0
Time of Possession,34:33,35:25
