Unnamed: 0,SFO,NWE
First Downs,15,23
Rush-Yds-TDs,35-135-0,28-174-1
Cmp-Att-Yd-TD-INT,18-29-189-1-0,23-34-236-2-1
Sacked-Yards,1-6,1-5
Net Pass Yards,183,231
Total Yards,318,405
Fumbles-Lost,2-2,3-2
Turnovers,2,3
Penalties-Yards,7-64,4-37
Third Down Conv.,6-16,1-7
Fourth Down Conv.,2-4,1-2
Time of Possession,30:48,29:12
