Quarter,Time,Tm,Detail,SFO,NWE
1,2:48,49ers,Steve Bush 4 yard pass from Ken Dorsey (Todd Peterson kick),7,0
2,5:57,Patriots,Mike Vrabel 1 yard pass from Tom Brady (Adam Vinatieri kick),7,7
3,8:50,Patriots,Deion Branch 8 yard pass from Tom Brady (Adam Vinatieri kick),7,14
4,14:24,Patriots,Corey Dillon 6 yard rush (Adam Vinatieri kick),7,21
