Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
DaeSean Hamilton,DEN,9,6,40,1,4,33,5.5,7,1.2,9.1,0,,0,0.0,0,113.2
Courtland Sutton,DEN,10,6,65,1,3,57,9.5,8,1.3,17.2,1,6.0,1,10.0,1,72.9
Devontae Booker,DEN,5,3,21,0,0,6,2.0,15,5.0,2.4,0,,0,0.0,0,69.6
Tim Patrick,DEN,5,3,44,0,2,27,9.0,17,5.7,13.4,0,,0,0.0,1,49.2
Phillip Lindsay,DEN,2,2,11,0,1,-3,-1.5,14,7.0,-1.5,0,,0,0.0,0,89.6
Brian Parker,DEN,3,2,10,0,1,0,0.0,10,5.0,1.7,0,,1,33.3,0,71.5
Andy Janovich,DEN,1,1,11,0,1,3,3.0,8,8.0,3.0,0,,0,0.0,0,112.5
Royce Freeman,DEN,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jordy Nelson,OAK,10,7,75,0,5,59,8.4,16,2.3,9.8,0,,1,10.0,0,91.7
Jalen Richard,OAK,5,4,40,0,1,20,5.0,20,5.0,3.6,0,,0,0.0,0,100.0
Jared Cook,OAK,3,2,20,0,,9,4.5,11,5.5,4.3,0,,0,0.0,0,85.4
Seth Roberts,OAK,3,2,14,0,1,9,4.5,5,2.5,11.3,0,,0,0.0,0,77.1
Darren Waller,OAK,2,2,8,0,,3,1.5,5,2.5,1.5,0,,0,0.0,0,83.3
Doug Martin,OAK,2,1,9,0,1,2,2.0,7,7.0,2.0,0,,0,0.0,0,62.5
Keith Smith,OAK,1,1,1,0,,0,0.0,1,1.0,0.0,0,,0,0.0,0,79.2
