Quarter,Time,Tm,Detail,DEN,OAK
1.0,10:10,Raiders,Dwayne Harris 99 yard punt return (Daniel Carlson kick),0,7
2.0,7:56,Raiders,Doug Martin 24 yard rush (Daniel Carlson kick),0,14
,0:19,Raiders,Daniel Carlson 43 yard field goal,0,17
3.0,4:36,Broncos,DaeSean Hamilton 7 yard pass from Case Keenum (Brandon McManus kick),7,17
4.0,12:16,Raiders,Jalen Richard 3 yard rush (Daniel Carlson kick),7,24
,7:31,Broncos,Courtland Sutton 19 yard pass from Case Keenum (Brandon McManus kick),14,24
,4:38,Raiders,Daniel Carlson 45 yard field goal,14,27
