Unnamed: 0,DEN,OAK
First Downs,19,16
Rush-Yds-TDs,24-100-0,30-114-2
Cmp-Att-Yd-TD-INT,23-37-202-2-2,19-26-167-0-0
Sacked-Yards,1-2,1-8
Net Pass Yards,200,159
Total Yards,300,273
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,11-91,6-50
Third Down Conv.,6-14,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,29:52,30:08
