Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 71 yards, returned by Leon Washington for 20 yards (tackle by Christian Kirksey)",0.000,0.280
1,14:55,1,10,TEN 14,0,0,Jake Locker pass complete short right to Delanie Walker for 21 yards (tackle by Tashaun Gipson and Donte Whitner),-0.280,1.270
1,14:28,1,10,TEN 35,0,0,Bishop Sankey up the middle for 1 yard (tackle by K'Waun Williams),1.270,0.860
1,13:51,2,9,TEN 36,0,0,"Shonn Greene right tackle for 2 yards (tackle by Donte Whitner). Penalty on Delanie Walker: Offensive Holding, 10 yards",0.860,-0.220
1,13:31,2,17,TEN 28,0,0,Bishop Sankey left tackle for no gain (tackle by Paul Kruger),-0.220,-0.890
1,12:54,3,17,TEN 28,0,0,"Penalty on Chance Warmack: False Start, 5 yards (no play)",-0.890,-1.550
1,12:40,3,22,TEN 23,0,0,Jake Locker pass complete deep right to Nate Washington for 17 yards (tackle by Buster Skrine),-1.550,-0.720
1,12:02,4,5,TEN 40,0,0,"Brett Kern punts 54 yards, returned by Jordan Poyer for 1 yard",-0.720,0.380
1,11:53,1,10,CLE 7,0,0,Brian Hoyer pass complete short left to Ben Tate for -2 yards (tackle by Kamerion Wimbley),-0.380,-0.930
1,11:17,2,12,CLE 5,0,0,Ben Tate left guard for 15 yards (tackle by Bernard Pollard),-0.930,0.280
1,10:44,1,10,CLE 20,0,0,Ben Tate left guard for 6 yards (tackle by Derrick Morgan),0.280,0.540
1,10:09,2,4,CLE 26,0,0,Isaiah Crowell right tackle for no gain (tackle by Ropati Pitoitua),0.540,-0.160
1,9:27,3,4,CLE 26,0,0,Brian Hoyer sacked by Michael Griffin for -7 yards,-0.160,-2.140
1,8:49,4,11,CLE 19,0,0,"Spencer Lanning punts 44 yards, returned by Dexter McCluster for 5 yards (tackle by Jordan Poyer)",-2.140,-1.730
1,8:37,1,10,TEN 42,0,0,Jake Locker pass complete short right to Dexter McCluster for -2 yards (tackle by Phil Taylor),1.730,0.920
1,7:58,2,12,TEN 40,0,0,Jake Locker right tackle for 12 yards (tackle by Billy Winn),0.920,2.390
1,7:34,1,10,CLE 48,0,0,Jake Locker pass complete short left to Kendall Wright for 1 yard (tackle by Armonty Bryant),2.390,1.980
1,6:56,2,9,CLE 47,0,0,Shonn Greene right guard for no gain (tackle by Billy Winn),1.980,1.290
1,6:13,3,9,CLE 47,0,0,"Jake Locker pass incomplete deep right intended for Justin Hunter. Penalty on Joe Haden: Defensive Pass Interference, 29 yards (no play)",1.290,4.370
1,6:04,1,10,CLE 18,0,0,Jake Locker pass complete short left to Nate Washington for 7 yards (tackle by Buster Skrine),4.370,5.010
1,5:29,2,3,CLE 11,0,0,Shonn Greene left end for no gain (tackle by Joe Haden),5.010,4.260
1,4:52,3,3,CLE 11,0,6,"Jake Locker pass complete short right to Kendall Wright for 11 yards, touchdown",4.260,7.000
1,4:52,,,CLE 2,0,7,Ryan Succop kicks extra point good,0.000,0.000
1,4:52,,,TEN 35,0,7,"Ryan Succop kicks off 63 yards, returned by Marlon Moore for 27 yards (tackle by Avery Williamson)",0.000,-0.870
1,4:38,1,10,CLE 29,0,7,Ben Tate left guard for 5 yards (tackle by Derrick Morgan),0.870,1.000
1,4:05,2,5,CLE 34,0,7,Brian Hoyer pass incomplete deep middle intended for Taylor Gabriel (defended by Jason McCourty),1.000,0.300
1,3:57,3,5,CLE 34,0,7,Brian Hoyer pass complete short middle to Travis Benjamin for 4 yards (tackle by Coty Sensabaugh),0.300,-0.850
1,3:12,4,1,CLE 38,0,7,"Spencer Lanning punts 48 yards, returned by Dexter McCluster for 6 yards (tackle by Christian Yount)",-0.850,-0.280
1,3:00,1,10,TEN 20,0,7,Kendall Wright left end for 38 yards (tackle by Karlos Dansby),0.280,2.790
1,2:19,1,10,CLE 42,0,7,Dexter McCluster right guard for 8 yards (tackle by Barkevious Mingo),2.790,3.320
1,1:39,2,2,CLE 34,0,7,Shonn Greene left guard for 4 yards (tackle by Billy Winn),3.320,3.580
1,1:04,1,10,CLE 30,0,7,Bishop Sankey left tackle for 11 yards (tackle by Tashaun Gipson),3.580,4.310
1,0:25,1,10,CLE 19,0,7,Shonn Greene up the middle for 3 yards (tackle by Billy Winn and Karlos Dansby),4.310,4.180
Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CLE 16,0,7,Jake Locker pass incomplete deep right intended for Dexter McCluster,4.180,3.410
2,14:54,3,7,CLE 16,0,7,"Jake Locker pass incomplete short right intended for Delanie Walker (defended by Karlos Dansby). Penalty on Paul Kruger: Defensive Offside, 5 yards (no play)",3.410,4.430
2,14:49,3,2,CLE 11,0,13,"Jake Locker left guard for 11 yards, touchdown. Penalty on Christian Kirksey: Unnecessary Roughness (Offsetting), Penalty on Michael Oher: Unnecessary Roughness (Offsetting)",4.430,7.000
2,14:49,,,CLE 2,0,14,"Ryan Succop kicks extra point good. Penalty on Taylor Lewan: Unnecessary Roughness, 15 yards",0.000,0.000
2,14:49,,,TEN 20,0,14,"Ryan Succop kicks off 74 yards, returned by Marlon Moore for 25 yards (tackle by Coty Sensabaugh). Penalty on Johnson Bademosi: Offensive Holding, 10 yards",0.000,0.280
2,14:32,1,10,CLE 14,0,14,Terrance West right guard for -2 yards (tackle by Al Woods),-0.280,-0.930
2,13:50,2,12,CLE 12,0,14,Brian Hoyer pass complete deep middle to Jordan Cameron for 19 yards (tackle by Michael Griffin),-0.930,1.000
2,13:16,1,10,CLE 31,0,14,Terrance West left tackle for 9 yards (tackle by Coty Sensabaugh and Bernard Pollard),1.000,1.680
2,12:55,2,1,CLE 40,0,14,Terrance West up the middle for 6 yards (tackle by Karl Klug),1.680,1.990
2,12:32,1,10,CLE 46,0,14,Ben Tate left tackle for 4 yards (tackle by Michael Griffin and Derrick Morgan),1.990,1.990
2,12:11,2,6,,0,14,Brian Hoyer pass incomplete short middle intended for Jim Dray (defended by Derrick Morgan),1.990,1.290
2,12:04,3,6,,0,14,Brian Hoyer pass complete short right to Andrew Hawkins for 10 yards,1.290,2.920
2,11:36,1,10,TEN 40,0,14,Ben Tate up the middle for 13 yards (tackle by Jason McCourty),2.920,3.780
2,11:14,1,10,TEN 27,0,14,Ben Tate up the middle for 6 yards (tackle by Shaun Phillips),3.780,4.040
2,10:54,2,4,TEN 21,0,14,Brian Hoyer pass incomplete short right intended for Ray Agnew (defended by Shaun Phillips),4.040,4.040
2,10:49,2,4,TEN 21,0,14,Timeout #1 by Cleveland Browns,4.040,3.340
2,10:49,3,4,TEN 21,0,14,Brian Hoyer pass complete short left to Jordan Cameron for 1 yard (tackle by George Wilson),3.340,2.220
2,10:10,4,3,TEN 20,3,14,Billy Cundiff 38 yard field goal good,2.220,3.000
2,10:10,,,CLE 35,3,14,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
2,10:05,1,10,TEN 20,3,14,Jake Locker pass complete short left to Justin Hunter for 12 yards (tackle by Buster Skrine),0.280,1.070
2,9:35,1,10,TEN 32,3,14,"Jake Locker left tackle for 4 yards (tackle by Ahtyba Rubin). Penalty on Buster Skrine: Defensive Holding, 5 yards",1.070,1.660
2,9:11,1,10,TEN 41,3,14,Jake Locker sacked by Jabaal Sheard for -1 yards,1.660,0.990
2,8:28,2,11,TEN 40,3,14,Shonn Greene right tackle for 7 yards (tackle by Ahtyba Rubin and Karlos Dansby),0.990,1.220
2,7:45,3,4,TEN 47,3,14,Jake Locker up the middle for 7 yards (tackle by Donte Whitner),1.220,1.220
2,7:03,3,4,TEN 47,3,14,Timeout #1 by Tennessee Titans,1.220,2.520
2,7:03,1,10,CLE 46,3,14,Shonn Greene up the middle for 10 yards (tackle by Karlos Dansby and Barkevious Mingo),2.520,3.180
2,6:24,1,10,CLE 36,3,14,Jake Locker pass incomplete short left intended for Shonn Greene (defended by Jabaal Sheard),3.180,2.640
2,6:17,2,10,CLE 36,3,14,Jake Locker pass incomplete short right intended for Justin Hunter,2.640,1.950
2,6:11,3,10,CLE 36,3,14,Jake Locker pass complete short left to Justin Hunter for 12 yards (tackle by Armonty Bryant and Christian Kirksey),1.950,3.970
2,5:25,1,10,CLE 24,3,14,Shonn Greene right guard for 1 yard (tackle by Jabaal Sheard),3.970,3.570
2,4:47,2,9,CLE 23,3,14,Dexter McCluster right end for 2 yards (tackle by Karlos Dansby),3.570,3.140
2,4:04,3,7,CLE 21,3,14,"Jake Locker pass incomplete short left intended for Delanie Walker. Penalty on Buster Skrine: Roughing the Passer, 10 yards, Penalty on Joe Haden: Defensive Holding (Declined) (no play)",3.140,3.140
2,3:59,3,7,CLE 21,3,14,Timeout #2 by Tennessee Titans,3.140,4.840
2,3:59,1,10,CLE 11,3,14,Charlie Whitehurst pass incomplete short right intended for Shonn Greene,4.840,4.140
2,3:49,2,10,CLE 11,3,20,"Charlie Whitehurst pass complete short right to Kendall Wright for 11 yards, touchdown",4.140,7.000
2,3:49,,,CLE 2,3,21,Ryan Succop kicks extra point good,0.000,0.000
