Quarter,Time,Tm,Detail,CLE,TEN
1.0,4:46,Titans,Kendall Wright 11 yard pass from Jake Locker (Ryan Succop kick),0,7
2.0,14:41,Titans,Jake Locker 11 yard rush (Ryan Succop kick),0,14
,10:05,Browns,Billy Cundiff 38 yard field goal,3,14
,3:43,Titans,Kendall Wright 11 yard pass from Charlie Whitehurst (Ryan Succop kick),3,21
,2:44,Titans,Justin Hunter 75 yard pass from Charlie Whitehurst (Ryan Succop kick),3,28
,0:12,Browns,Jim Dray 1 yard pass from Brian Hoyer (Billy Cundiff kick),10,28
3.0,12:55,Browns,Billy Cundiff 42 yard field goal,13,28
4.0,11:02,Browns,"Safety, Brett Kerns punt blocked by Tank Carder out of the end zone.",15,28
,6:49,Browns,Travis Benjamin 17 yard pass from Brian Hoyer (Billy Cundiff kick),22,28
,1:09,Browns,Travis Benjamin 6 yard pass from Brian Hoyer (Billy Cundiff kick),29,28
