Unnamed: 0,CLE,TEN
First Downs,27,22
Rush-Yds-TDs,36-176-0,30-149-1
Cmp-Att-Yd-TD-INT,21-37-291-3-1,21-32-273-3-0
Sacked-Yards,1-7,3-12
Net Pass Yards,284,261
Total Yards,460,410
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-74,7-68
Third Down Conv.,4-12,8-14
Fourth Down Conv.,0-2,0-1
Time of Possession,29:17,30:43
