Quarter,Time,Down,ToGo,Location,PIT,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Cairo Santos kicks off 63 yards, returned by Justin Gilbert for 28 yards (tackle by Anthony Sherman)",0.000,-0.940
1,14:54,1,10,PIT 30,0,0,Ben Roethlisberger pass incomplete short middle intended for Le'Veon Bell (defended by Dontari Poe),0.940,0.390
1,14:50,2,10,PIT 30,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 7 yards (tackle by Ron Parker),0.390,0.630
1,14:14,3,3,PIT 37,0,0,Ben Roethlisberger pass complete short left to Eli Rogers for 4 yards (tackle by Eric Berry),0.630,1.660
1,13:38,1,10,PIT 41,0,0,Ben Roethlisberger pass complete short right to Jesse James for 13 yards (tackle by Ron Parker and Daniel Sorensen),1.660,2.520
1,12:58,1,10,KAN 46,0,0,Ben Roethlisberger pass complete short middle to Jesse James for 16 yards (tackle by Marcus Peters and Eric Berry),2.520,3.580
1,12:16,1,10,KAN 30,0,0,Le'Veon Bell right guard for 6 yards (tackle by Jarvis Jenkins),3.580,3.840
1,11:38,2,4,KAN 24,0,0,Le'Veon Bell right guard for 11 yards (tackle by Justin Houston),3.840,4.710
1,11:01,1,10,KAN 13,0,0,Le'Veon Bell middle for 8 yards (tackle by Ramik Wilson),4.710,5.540
1,10:18,2,2,KAN 5,0,0,Ben Roethlisberger pass incomplete short right intended for Le'Veon Bell,5.540,4.780
1,10:11,3,2,KAN 5,0,0,Ben Roethlisberger pass complete short left to Eli Rogers for 1 yard (tackle by Ron Parker),4.780,0.000
1,9:42,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,-3.040
1,9:42,4,1,KAN 4,3,0,Chris Boswell 22 yard field goal good,3.040,3.000
1,9:38,,,PIT 35,3,0,"Chris Boswell kicks off 45 yards, returned by Demetrius Harris for 25 yards (tackle by Darrius Heyward-Bey)",0.000,-1.930
1,9:31,1,10,KAN 45,3,0,Spencer Ware right guard for 7 yards (tackle by James Harrison),1.930,2.330
