Unnamed: 0,PIT,KAN
First Downs,20,16
Rush-Yds-TDs,34-171-0,14-61-1
Cmp-Att-Yd-TD-INT,20-31-224-0-1,20-34-172-1-1
Sacked-Yards,1-6,1-6
Net Pass Yards,218,166
Total Yards,389,227
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,4-53,6-60
Third Down Conv.,7-15,2-9
Fourth Down Conv.,0-0,2-2
Time of Possession,34:13,25:47
