Unnamed: 0,NWE,BUF
First Downs,26,15
Rush-Yds-TDs,34-158-0,34-136-0
Cmp-Att-Yd-TD-INT,29-52-288-2-1,18-27-150-2-0
Sacked-Yards,3-15,0-0
Net Pass Yards,273,150
Total Yards,431,286
Fumbles-Lost,2-2,3-2
Turnovers,3,2
Penalties-Yards,4-36,10-75
Third Down Conv.,11-20,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,37:43,22:17
