Unnamed: 0,NOR,SEA
First Downs,12,23
Rush-Yds-TDs,17-44-0,38-127-0
Cmp-Att-Yd-TD-INT,23-38-147-1-0,22-30-310-3-0
Sacked-Yards,1-3,1-8
Net Pass Yards,144,302
Total Yards,188,429
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,7-52,8-66
Third Down Conv.,6-15,7-14
Fourth Down Conv.,0-2,1-2
Time of Possession,26:22,33:38
