Unnamed: 0,SFO,NOR
First Downs,21,17
Rush-Yds-TDs,25-49-0,30-114-2
Cmp-Att-Yd-TD-INT,24-39-247-1-2,14-23-139-1-0
Sacked-Yards,2-15,3-16
Net Pass Yards,232,123
Total Yards,281,237
Fumbles-Lost,2-2,5-2
Turnovers,4,2
Penalties-Yards,6-51,5-61
Third Down Conv.,7-16,2-12
Fourth Down Conv.,0-1,0-0
Time of Possession,32:54,27:06
