Quarter,Time,Tm,Detail,SFO,NOR
1.0,7:43,49ers,Brandon Aiyuk 4 yard pass from Nick Mullens (Robbie Gould kick),7,0
2.0,14:56,49ers,Robbie Gould 32 yard field goal,10,0
,13:48,Saints,Wil Lutz 49 yard field goal,10,3
,6:48,Saints,Alvin Kamara 2 yard rush (Wil Lutz kick),10,10
,1:15,Saints,Alvin Kamara 3 yard pass from Drew Brees (Wil Lutz kick),10,17
4.0,12:15,Saints,Wil Lutz 23 yard field goal,10,20
,7:29,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),10,27
,5:54,49ers,Robbie Gould 40 yard field goal,13,27
