Unnamed: 0,GNB,DET
First Downs,28,24
Rush-Yds-TDs,31-153-0,21-76-1
Cmp-Att-Yd-TD-INT,27-39-300-4-0,26-41-347-2-1
Sacked-Yards,1-5,2-15
Net Pass Yards,295,332
Total Yards,448,408
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,10-75,5-30
Third Down Conv.,7-13,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,34:09,25:51
