Unnamed: 0,TEN,KAN
First Downs,9,29
Rush-Yds-TDs,29-172-2,19-77-1
Cmp-Att-Yd-TD-INT,5-16-80-0-0,43-68-446-1-1
Sacked-Yards,3-23,4-24
Net Pass Yards,57,422
Total Yards,229,499
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,8-51,10-69
Third Down Conv.,1-11,8-19
Fourth Down Conv.,0-1,2-2
Time of Possession,26:23,41:28
