Quarter,Time,Tm,Detail,TEN,KAN
1,6:47,Chiefs,Harrison Butker 23 yard field goal,0,3
2,14:55,Chiefs,Mecole Hardman 7 yard pass from Patrick Mahomes (Harrison Butker kick failed),0,9
,10:48,Titans,Derrick Henry 4 yard rush (Randy Bullock kick),7,9
,5:24,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),14,9
3,9:58,Titans,Randy Bullock 44 yard field goal,17,9
4,2:56,Chiefs,Patrick Mahomes 14 yard rush (Patrick Mahomes run),17,17
OT,4:04,Chiefs,Harrison Butker 28 yard field goal,17,20
