Unnamed: 0,MIA,BUF
First Downs,23,20
Rush-Yds-TDs,37-157-1,25-129-3
Cmp-Att-Yd-TD-INT,17-32-175-1-4,17-26-246-1-1
Sacked-Yards,1-7,6-39
Net Pass Yards,168,207
Total Yards,325,336
Fumbles-Lost,0-0,1-0
Turnovers,4,1
Penalties-Yards,6-50,3-20
Third Down Conv.,5-13,3-10
Fourth Down Conv.,1-1,1-1
Time of Possession,31:46,28:14
