Quarter,Time,Tm,Detail,GNB,SFO
1.0,9:02,Packers,Richard Rodgers 9 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
2.0,4:25,49ers,Phil Dawson 33 yard field goal,7,3
3.0,7:10,Packers,John Kuhn 1 yard rush (Mason Crosby kick),14,3
,0:45,Packers,Mason Crosby 31 yard field goal,17,3
