Unnamed: 0,GNB,SFO
First Downs,18,8
Rush-Yds-TDs,33-162-1,19-77-0
Cmp-Att-Yd-TD-INT,22-32-224-1-0,13-25-160-0-1
Sacked-Yards,3-24,6-41
Net Pass Yards,200,119
Total Yards,362,196
Fumbles-Lost,0-0,3-0
Turnovers,0,1
Penalties-Yards,8-65,4-30
Third Down Conv.,5-15,4-13
Fourth Down Conv.,2-2,0-1
Time of Possession,36:34,23:26
