Quarter,Time,Tm,Detail,KAN,DEN
2,0:05,Chiefs,Lawrence Tynes 29 yard field goal,3,0
3,9:29,Chiefs,Lawrence Tynes 45 yard field goal,6,0
,0:54,Broncos,Jason Elam 23 yard field goal,6,3
4,5:54,Broncos,Jason Elam 22 yard field goal,6,6
OT,9:50,Broncos,Jason Elam 39 yard field goal,6,9
